onset	duration	run_number	trial_number	att_task	seq_acquisition	bar_direction	bar_period	bar_step	stim_noise_ori	stim_stair_val	response_val	probe_time	reaction_time
39655.81154	1.250355577	9	1	1	1	9	1	1	3	8	n/a	n/a	n/a
39657.0706	1.240625765	9	2	1	1	9	1	2	3	8	n/a	n/a	n/a
39658.31963	1.240898578	9	3	1	1	9	1	3	3	8	n/a	n/a	n/a
39659.56952	1.24156396	9	4	1	1	9	1	4	3	8	n/a	n/a	n/a
39660.81937	1.244248646	9	5	1	1	9	1	5	3	8	n/a	n/a	n/a
39662.06938	1.241392377	9	6	1	1	9	1	6	3	8	n/a	n/a	n/a
39663.31933	1.241554741	9	7	1	1	9	1	7	3	8	n/a	n/a	n/a
39664.56921	1.241250594	9	8	1	1	9	1	8	3	8	n/a	n/a	n/a
39665.81898	1.241742158	9	9	1	1	9	1	9	3	8	n/a	n/a	n/a
39667.0691	1.241085707	9	10	1	1	9	1	10	3	8	n/a	n/a	n/a
39668.47083	1.248165605	9	11	1	1	1	2	1	2	8	1	39668.8452	0.309311718
39669.72723	1.266726443	9	12	1	1	1	2	2	2	8	1	39670.09396	0.559129863
39671.00203	1.275018448	9	13	1	1	1	2	3	2	7	1	39671.3689	0.524742333
39672.28541	1.241538052	9	14	1	1	1	2	4	2	7	1	39672.65202	0.482846171
39673.53531	1.258345406	9	15	1	1	1	2	5	2	8	0	39673.90181	0.669389727
39674.80177	1.27498061	9	16	1	1	1	2	6	2	9	0	39675.16875	0.674954561
39676.08482	1.242004987	9	17	1	1	1	2	7	1	9	1	39676.45197	0.683485069
39677.33523	1.241435557	9	18	1	1	1	2	8	1	9	1	39677.70156	0.742115625
39678.58496	1.241617451	9	19	1	1	1	2	9	2	10	0	39678.95171	0.708517268
39679.83445	1.241934427	9	20	1	1	1	2	10	1	10	1	39680.20139	0.70870456
39681.08479	1.241256032	9	21	1	1	1	2	11	1	10	1	39681.45138	0.608711448
39682.3343	1.241977053	9	22	1	1	1	2	12	2	11	0	39682.70133	0.56672472
39683.58466	1.241733092	9	23	1	1	1	2	13	1	11	1	39683.95137	0.566840701
39684.8343	1.241973476	9	24	1	1	1	2	14	1	11	1	39685.20129	0.532950901
39686.08461	1.241525061	9	25	1	1	1	2	15	1	10	1	39686.45121	0.575164525
