onset	duration	run_number	trial_number	att_task	fix_direction	bar_direction	bar_period	bar_step	fix_noise_ori	stim_noise_ori	fix_stair_val	stim_stair_val	response_val	probe_time	reaction_time
1559829363	1.291388035	3	1	1	4	9	1	1	3	3	3	6	n/a	n/a	n/a
1559829364	1.291789055	3	2	1	4	9	1	2	3	3	3	6	n/a	n/a	n/a
1559829365	1.291800022	3	3	1	4	9	1	3	3	3	3	6	n/a	n/a	n/a
1559829367	1.291672945	3	4	1	4	9	1	4	3	3	3	6	n/a	n/a	n/a
1559829368	1.291729927	3	5	1	4	9	1	5	3	3	3	6	n/a	n/a	n/a
1559829369	1.291725159	3	6	1	4	9	1	6	3	3	3	6	n/a	n/a	n/a
1559829370	1.291668892	3	7	1	4	9	1	7	3	3	3	6	n/a	n/a	n/a
1559829372	1.29166913	3	8	1	4	9	1	8	3	3	3	6	n/a	n/a	n/a
1559829373	1.291651964	3	9	1	4	9	1	9	3	3	3	6	n/a	n/a	n/a
1559829374	1.291673899	3	10	1	4	9	1	10	3	3	3	6	n/a	n/a	n/a
1559829376	1.307222843	3	11	1	4	1	2	1	1	1	4	6	0	1559829376	0.5503101349
1559829377	1.299996853	3	12	1	4	1	2	2	2	1	4	6	1	1559829377	0.7584760189
1559829378	1.299906969	3	13	1	4	1	2	3	2	2	4	6	0	1559829379	0.9500639439
1559829380	1.299997091	3	14	1	4	1	2	4	2	2	5	6	1	1559829380	0.7750310898
1559829381	1.299998045	3	15	1	4	1	2	5	1	2	5	6	1	1559829381	0.9164168835
1559829382	1.299994946	3	16	1	4	1	2	6	1	2	5	6	1	1559829383	0.9418280125
1559829384	1.299993992	3	17	1	4	1	2	7	1	1	4	6	n/a	1559829384	n/a
1559829385	1.30000782	3	18	1	4	1	2	8	2	2	4	6	1	1559829385	0.8086919785
1559829386	1.300001144	3	19	1	4	1	2	9	1	2	4	6	1	1559829387	0.8251969814
1559829387	1.300000906	3	20	1	4	1	2	10	2	2	3	6	1	1559829388	0.7927868366
1559829389	1.299999952	3	21	1	4	1	2	11	1	1	3	6	1	1559829389	0.7177300453
1559829390	1.299988985	3	22	1	4	1	2	12	1	1	3	6	1	1559829390	0.8169281483
1559829391	1.299947977	3	23	1	4	1	2	13	2	1	4	6	0	1559829392	0.8419880867
1559829393	1.299993038	3	24	1	4	1	2	14	2	2	4	6	1	1559829393	0.8336379528
1559829394	1.299990892	3	25	1	4	1	2	15	1	1	4	6	n/a	1559829394	n/a
1559829395	1.299954891	3	26	1	4	1	2	16	1	2	4	6	n/a	1559829396	n/a
1559829397	1.300060987	3	27	1	4	1	2	17	1	1	4	6	n/a	1559829397	n/a
1559829398	1.300045013	3	28	1	4	1	2	18	2	2	4	6	n/a	1559829398	n/a
1559829399	1.300065994	3	29	1	4	1	2	19	1	2	4	6	n/a	1559829400	n/a
1559829401	1.299950838	3	30	1	4	1	2	20	2	1	4	6	1	1559829401	0.9338669777
1559829402	1.291638851	3	31	1	4	1	2	21	2	1	3	6	1	1559829402	0.841796875
1559829403	1.299890995	3	32	1	4	1	2	22	1	2	3	6	1	1559829404	0.808535099
1559829404	1.300047159	3	33	1	4	1	2	23	1	1	3	6	1	1559829405	0.816724062
1559829406	1.299993992	3	34	1	4	1	2	24	1	2	4	6	0	1559829406	0.7835600376
1559829407	1.300003052	3	35	1	4	1	2	25	2	1	5	6	0	1559829407	0.8584458828
1559829408	1.300112963	3	36	1	4	1	2	26	1	2	5	6	1	1559829409	0.9001619816
1559829410	1.300063133	3	37	1	4	1	2	27	2	2	5	6	n/a	1559829410	n/a
1559829411	1.299998999	3	38	1	4	1	2	28	2	2	5	6	n/a	1559829411	n/a
1559829412	1.299990892	3	39	1	4	1	2	29	2	1	5	6	n/a	1559829413	n/a
1559829414	1.30015111	3	40	1	4	1	2	30	2	1	5	6	n/a	1559829414	n/a
1559829415	1.299993038	3	41	1	4	1	2	31	1	2	5	6	1	1559829415	0.9585030079
1559829416	1.300037146	3	42	1	4	1	2	32	2	2	5	6	n/a	1559829417	n/a
1559829418	1.291285992	3	43	1	4	9	3	1	3	3	5	6	n/a	n/a	n/a
1559829419	1.291466951	3	44	1	4	9	3	2	3	3	5	6	n/a	n/a	n/a
1559829420	1.291734934	3	45	1	4	9	3	3	3	3	5	6	n/a	n/a	n/a
1559829421	1.291789055	3	46	1	4	9	3	4	3	3	5	6	n/a	n/a	n/a
1559829423	1.291632891	3	47	1	4	9	3	5	3	3	5	6	n/a	n/a	n/a
1559829424	1.291610956	3	48	1	4	9	3	6	3	3	5	6	n/a	n/a	n/a
1559829425	1.291659117	3	49	1	4	9	3	7	3	3	5	6	n/a	n/a	n/a
