onset	duration	run_number	trial_number	att_task	fix_direction	bar_direction	bar_period	bar_step	fix_noise_ori	stim_noise_ori	fix_stair_val	stim_stair_val	response_val	probe_time	reaction_time
1559830369	1.29134798	7	1	1	3	9	1	1	3	3	5	5	n/a	n/a	n/a
1559830370	1.291666985	7	2	1	3	9	1	2	3	3	5	5	n/a	n/a	n/a
1559830371	1.29173708	7	3	1	3	9	1	3	3	3	5	5	n/a	n/a	n/a
1559830373	1.291606903	7	4	1	3	9	1	4	3	3	5	5	n/a	n/a	n/a
1559830374	1.29172492	7	5	1	3	9	1	5	3	3	5	5	n/a	n/a	n/a
1559830375	1.29171586	7	6	1	3	9	1	6	3	3	5	5	n/a	n/a	n/a
1559830377	1.291756868	7	7	1	3	9	1	7	3	3	5	5	n/a	n/a	n/a
1559830378	1.291678905	7	8	1	3	9	1	8	3	3	5	5	n/a	n/a	n/a
1559830379	1.291663885	7	9	1	3	9	1	9	3	3	5	5	n/a	n/a	n/a
1559830380	1.291754007	7	10	1	3	9	1	10	3	3	5	5	n/a	n/a	n/a
1559830382	1.298902988	7	11	1	3	1	2	1	2	1	5	5	1	1559830382	0.9336221218
1559830383	1.300017118	7	12	1	3	1	2	2	2	2	4	5	1	1559830383	0.8585429192
1559830384	1.291728973	7	13	1	3	1	2	3	2	2	4	5	1	1559830385	0.7668290138
1559830386	1.299972057	7	14	1	3	1	2	4	1	2	3	5	1	1559830386	0.7417888641
1559830387	1.291606903	7	15	1	3	1	2	5	1	1	4	5	0	1559830387	0.8165128231
1559830388	1.299995184	7	16	1	3	1	2	6	2	2	4	5	1	1559830389	0.7009789944
1559830390	1.299998999	7	17	1	3	1	2	7	1	2	4	5	1	1559830390	0.6419460773
1559830391	1.291666985	7	18	1	3	1	2	8	1	2	5	5	0	1559830391	0.7586679459
1559830392	1.300000906	7	19	1	3	1	2	9	2	2	6	5	0	1559830393	0.8750140667
1559830394	1.300007105	7	20	1	3	1	2	10	1	1	6	5	1	1559830394	0.7586150169
1559830395	1.291670084	7	21	1	3	1	2	11	2	1	6	5	1	1559830395	0.7335820198
1559830396	1.300006151	7	22	1	3	1	2	12	2	1	5	5	1	1559830397	0.7754378319
1559830397	1.299992085	7	23	1	3	1	2	13	1	2	5	5	1	1559830398	0.8094580173
1559830399	1.299997091	7	24	1	3	1	2	14	1	2	5	5	n/a	1559830399	n/a
1559830400	1.291662931	7	25	1	3	1	2	15	2	1	5	5	1	1559830400	0.8584928513
1559830401	1.291662216	7	26	1	3	1	2	16	2	2	5	5	n/a	1559830402	n/a
1559830403	1.299936056	7	27	1	3	1	2	17	2	1	4	5	1	1559830403	0.9001860619
1559830404	1.291643143	7	28	1	3	1	2	18	1	1	4	5	1	1559830404	0.7921040058
1559830405	1.291481972	7	29	1	3	9	3	1	3	3	4	5	n/a	n/a	n/a
1559830407	1.291642189	7	30	1	3	9	3	2	3	3	4	5	n/a	n/a	n/a
1559830408	1.291655064	7	31	1	3	9	3	3	3	3	4	5	n/a	n/a	n/a
1559830409	1.291608095	7	32	1	3	9	3	4	3	3	4	5	n/a	n/a	n/a
1559830411	1.291733027	7	33	1	3	9	3	5	3	3	4	5	n/a	n/a	n/a
1559830412	1.291667223	7	34	1	3	9	3	6	3	3	4	5	n/a	n/a	n/a
1559830413	1.29166007	7	35	1	3	9	3	7	3	3	4	5	n/a	n/a	n/a
1559830414	1.291663885	7	36	1	3	9	3	8	3	3	4	5	n/a	n/a	n/a
1559830416	1.291651011	7	37	1	3	9	3	9	3	3	4	5	n/a	n/a	n/a
1559830417	1.291692972	7	38	1	3	9	3	10	3	3	4	5	n/a	n/a	n/a
1559830418	1.29991293	7	39	1	3	5	4	1	1	2	5	5	0	1559830419	0.5833740234
