onset	duration	run_number	trial_number	att_task	fix_direction	bar_direction	bar_period	bar_step	fix_noise_ori	stim_noise_ori	fix_stair_val	stim_stair_val	response_val	probe_time	reaction_time
1560350500	1.291533947	8	1	2	3	9	1	1	3	3	4	6	n/a	n/a	n/a
1560350501	1.291797161	8	2	2	3	9	1	2	3	3	4	6	n/a	n/a	n/a
1560350502	1.291659117	8	3	2	3	9	1	3	3	3	4	6	n/a	n/a	n/a
1560350503	1.291782141	8	4	2	3	9	1	4	3	3	4	6	n/a	n/a	n/a
1560350505	1.291754961	8	5	2	3	9	1	5	3	3	4	6	n/a	n/a	n/a
1560350506	1.291720152	8	6	2	3	9	1	6	3	3	4	6	n/a	n/a	n/a
1560350507	1.291671038	8	7	2	3	9	1	7	3	3	4	6	n/a	n/a	n/a
1560350509	1.291667938	8	8	2	3	9	1	8	3	3	4	6	n/a	n/a	n/a
1560350510	1.291689157	8	9	2	3	9	1	9	3	3	4	6	n/a	n/a	n/a
1560350511	1.291662931	8	10	2	3	9	1	10	3	3	4	6	n/a	n/a	n/a
1560350513	1.298975945	8	11	2	3	1	2	1	1	2	4	6	1	1560350513	0.4419817924
1560350514	1.291656017	8	12	2	3	1	2	2	1	2	4	7	0	1560350514	0.5167939663
1560350515	1.291698933	8	13	2	3	1	2	3	1	2	4	8	0	1560350516	0.5918600559
1560350516	1.291751862	8	14	2	3	1	2	4	1	2	4	8	1	1560350517	0.6417679787
1560350518	1.300004959	8	15	2	3	1	2	5	1	2	4	8	1	1560350518	0.6914558411
1560350519	1.291664839	8	16	2	3	1	2	6	1	2	4	7	1	1560350519	0.8417739868
1560350520	1.299985886	8	17	2	3	1	2	7	1	1	4	7	1	1560350521	0.8419849873
1560350522	1.299952984	8	18	2	3	1	2	8	1	1	4	7	1	1560350522	0.7419700623
1560350523	1.299981833	8	19	2	3	1	2	9	1	2	4	6	1	1560350523	0.8510870934
1560350524	1.299986124	8	20	2	3	1	2	10	1	2	4	6	1	1560350525	0.7505190372
1560350526	1.300005198	8	21	2	3	1	2	11	1	1	4	6	1	1560350526	0.8261170387
1560350527	1.299994946	8	22	2	3	1	2	12	1	2	4	5	1	1560350527	0.7667179108
1560350528	1.300082207	8	23	2	3	1	2	13	2	1	4	5	1	1560350529	0.6001739502
1560350530	1.291679859	8	24	2	3	1	2	14	2	1	4	6	0	1560350530	0.7003149986
1560350531	1.291655064	8	25	2	3	1	2	15	2	1	4	6	1	1560350531	0.6668851376
1560350532	1.300008059	8	26	2	3	1	2	16	2	2	4	6	1	1560350532	0.7502269745
1560350533	1.29173398	8	27	2	3	1	2	17	2	2	4	5	1	1560350534	0.7417800426
