bar pass 1 started at 6343.806045
bar pass 1 event mri_trigger at 6375.290747
bar pass 1 trial onset at 6375.296676
bar pass 1 event mri_trigger at 6375.374733
bar pass 1 event mri_trigger at 6375.458346
bar pass 1 event mri_trigger at 6375.533232
bar pass 1 event mri_trigger at 6375.616371
bar pass 1 event mri_trigger at 6375.692171
bar pass 1 event mri_trigger at 6375.774945
bar pass 1 event mri_trigger at 6375.849944
bar pass 1 event mri_trigger at 6375.933144
bar pass 1 event mri_trigger at 6376.016491
bar pass 1 event mri_trigger at 6376.091636
bar pass 1 event mri_trigger at 6376.175148
bar pass 1 event mri_trigger at 6376.249919
bar pass 1 event mri_trigger at 6376.333189
bar pass 1 event mri_trigger at 6376.416497
bar pass 1 trial offset at 6376.488615
bar pass 1 event mri_trigger at 6376.492202
bar pass 1 trial onset at 6376.497040
bar pass 1 event mri_trigger at 6376.575176
bar pass 1 event mri_trigger at 6376.650233
bar pass 1 event mri_trigger at 6376.733382
bar pass 1 event mri_trigger at 6376.816851
bar pass 1 event mri_trigger at 6376.891939
bar pass 1 event mri_trigger at 6376.975185
bar pass 1 event mri_trigger at 6377.050240
bar pass 1 event mri_trigger at 6377.133605
bar pass 1 event mri_trigger at 6377.217092
bar pass 1 event mri_trigger at 6377.291951
bar pass 1 event mri_trigger at 6377.375351
bar pass 1 event mri_trigger at 6377.450441
bar pass 1 event mri_trigger at 6377.533943
bar pass 1 event mri_trigger at 6377.617109
bar pass 1 trial offset at 6377.689193
bar pass 1 event mri_trigger at 6377.692621
bar pass 1 trial onset at 6377.697430
bar pass 1 event mri_trigger at 6377.775433
bar pass 1 event mri_trigger at 6377.850418
bar pass 1 event mri_trigger at 6377.933964
bar pass 1 event mri_trigger at 6378.017394
bar pass 1 event mri_trigger at 6378.092451
bar pass 1 event mri_trigger at 6378.175646
bar pass 1 event mri_trigger at 6378.250662
bar pass 1 event mri_trigger at 6378.334213
bar pass 1 event mri_trigger at 6378.417402
bar pass 1 event mri_trigger at 6378.492512
bar pass 1 event mri_trigger at 6378.575947
bar pass 1 event mri_trigger at 6378.650928
bar pass 1 event mri_trigger at 6378.734236
bar pass 1 event mri_trigger at 6378.817579
bar pass 1 trial offset at 6378.889596
bar pass 1 event mri_trigger at 6378.893025
bar pass 1 trial onset at 6378.898015
bar pass 1 event mri_trigger at 6378.976201
bar pass 1 event mri_trigger at 6379.051021
bar pass 1 event mri_trigger at 6379.134465
bar pass 1 event mri_trigger at 6379.217614
bar pass 1 event mri_trigger at 6379.292759
bar pass 1 event mri_trigger at 6379.376256
bar pass 1 event mri_trigger at 6379.451300
bar pass 1 event mri_trigger at 6379.534737
bar pass 1 event mri_trigger at 6379.617945
bar pass 1 event mri_trigger at 6379.693038
bar pass 1 event mri_trigger at 6379.776263
bar pass 1 event mri_trigger at 6379.851314
bar pass 1 event mri_trigger at 6379.934729
bar pass 1 event mri_trigger at 6380.018215
bar pass 1 trial offset at 6380.090151
bar pass 1 event mri_trigger at 6380.093532
bar pass 1 trial onset at 6380.098611
bar pass 1 event mri_trigger at 6380.176538
bar pass 1 event mri_trigger at 6380.251538
bar pass 1 event mri_trigger at 6380.335048
bar pass 1 event mri_trigger at 6380.418231
bar pass 1 event mri_trigger at 6380.493343
bar pass 1 event mri_trigger at 6380.576673
bar pass 1 event mri_trigger at 6380.651762
bar pass 1 event mri_trigger at 6380.735076
bar pass 1 event mri_trigger at 6380.810040
bar pass 1 event mri_trigger at 6380.893621
bar pass 1 event mri_trigger at 6380.976743
bar pass 1 event mri_trigger at 6381.051774
bar pass 1 event mri_trigger at 6381.135376
bar pass 1 event mri_trigger at 6381.210033
bar pass 1 trial offset at 6381.290658
bar pass 1 event mri_trigger at 6381.295044
bar pass 1 trial onset at 6381.298852
bar pass 1 event mri_trigger at 6381.377051
bar pass 1 event mri_trigger at 6381.452126
bar pass 1 event mri_trigger at 6381.535535
bar pass 1 event mri_trigger at 6381.610421
bar pass 1 event mri_trigger at 6381.693766
bar pass 1 event mri_trigger at 6381.777074
bar pass 1 event mri_trigger at 6381.852144
bar pass 1 event mri_trigger at 6381.935631
bar pass 1 event mri_trigger at 6382.010603
bar pass 1 event mri_trigger at 6382.093763
bar pass 1 event mri_trigger at 6382.177335
bar pass 1 event mri_trigger at 6382.252321
bar pass 1 event mri_trigger at 6382.335820
bar pass 1 event mri_trigger at 6382.410660
bar pass 1 trial offset at 6382.491024
bar pass 1 event mri_trigger at 6382.494324
bar pass 1 trial onset at 6382.499441
bar pass 1 event mri_trigger at 6382.577634
bar pass 1 event mri_trigger at 6382.652416
bar pass 1 event mri_trigger at 6382.735800
bar pass 1 event mri_trigger at 6382.810841
bar pass 1 event mri_trigger at 6382.894413
bar pass 1 event mri_trigger at 6382.977823
bar pass 1 event mri_trigger at 6383.052620
bar pass 1 event mri_trigger at 6383.136070
bar pass 1 event mri_trigger at 6383.210916
bar pass 1 event mri_trigger at 6383.294438
bar pass 1 event mri_trigger at 6383.377763
bar pass 1 event mri_trigger at 6383.452836
bar pass 1 event mri_trigger at 6383.536167
bar pass 1 event mri_trigger at 6383.611237
bar pass 1 trial offset at 6383.691544
bar pass 1 event mri_trigger at 6383.694845
bar pass 1 trial onset at 6383.699900
bar pass 1 event mri_trigger at 6383.778061
bar pass 1 event mri_trigger at 6383.852857
bar pass 1 event mri_trigger at 6383.936419
bar pass 1 event mri_trigger at 6384.011431
bar pass 1 event mri_trigger at 6384.094742
bar pass 1 event mri_trigger at 6384.178136
bar pass 1 event mri_trigger at 6384.253226
bar pass 1 event mri_trigger at 6384.336447
bar pass 1 event mri_trigger at 6384.411735
bar pass 1 event mri_trigger at 6384.494862
bar pass 1 event mri_trigger at 6384.578444
bar pass 1 event mri_trigger at 6384.653239
bar pass 1 event mri_trigger at 6384.736745
bar pass 1 event mri_trigger at 6384.811805
bar pass 1 trial offset at 6384.891987
bar pass 1 event mri_trigger at 6384.895284
bar pass 1 trial onset at 6384.900397
bar pass 1 event mri_trigger at 6384.978456
bar pass 1 event mri_trigger at 6385.053508
bar pass 1 event mri_trigger at 6385.136853
bar pass 1 event mri_trigger at 6385.211950
bar pass 1 event mri_trigger at 6385.295278
bar pass 1 event mri_trigger at 6385.370314
bar pass 1 event mri_trigger at 6385.453777
bar pass 1 event mri_trigger at 6385.536925
bar pass 1 event mri_trigger at 6385.612010
bar pass 1 event mri_trigger at 6385.695500
bar pass 1 event mri_trigger at 6385.770352
bar pass 1 event mri_trigger at 6385.853808
bar pass 1 event mri_trigger at 6385.937239
bar pass 1 event mri_trigger at 6386.012312
bar pass 1 trial offset at 6386.092449
bar pass 1 event mri_trigger at 6386.095724
bar pass 1 trial onset at 6386.100868
bar pass 1 event mri_trigger at 6386.170597
bar pass 1 event mri_trigger at 6386.253819
bar pass 1 event mri_trigger at 6386.337530
bar pass 1 event mri_trigger at 6386.412333
bar pass 1 event mri_trigger at 6386.495791
bar pass 1 event mri_trigger at 6386.570603
bar pass 1 event mri_trigger at 6386.653956
bar pass 1 event mri_trigger at 6386.737516
bar pass 1 event mri_trigger at 6386.812589
bar pass 1 event mri_trigger at 6386.895935
bar pass 1 event mri_trigger at 6386.970856
bar pass 1 event mri_trigger at 6387.054277
bar pass 1 event mri_trigger at 6387.137823
bar pass 1 event mri_trigger at 6387.212814
bar pass 1 trial offset at 6387.292993
bar pass 1 event mri_trigger at 6387.296456
bar pass 1 - 119/120 drawn bar stimuli - and 0/0 probes - 1 missed sync on 1440 frames, 0.1% (mean/median delay = 2.4/2.4 ms)
bar pass 1 stopped at 6387.308135
bar pass 2 started at 6387.444274
bar pass 2 trial onset at 6387.471385
bar pass 2 event mri_trigger at 6387.537660
bar pass 2 event mri_trigger at 6387.612787
bar pass 2 event mri_trigger at 6387.696137
bar pass 2 event mri_trigger at 6387.771431
bar pass 2 stimulus probe onset at 6387.826637
bar pass 2 event mri_trigger at 6387.854508
bar pass 2 event mri_trigger at 6387.937892
bar pass 2 event mri_trigger at 6388.013048
bar pass 2 event mri_trigger at 6388.096488
bar pass 2 event mri_trigger at 6388.171295
bar pass 2 event mri_trigger at 6388.254766
bar pass 2 event mri_trigger at 6388.338101
bar pass 2 event mri_trigger at 6388.413037
bar pass 2 event mri_trigger at 6388.496510
bar pass 2 event mri_trigger at 6388.571573
bar pass 2 event mri_trigger at 6388.655042
bar pass 2 trial offset at 6388.676912
bar pass 2 trial onset at 6388.685186
bar pass 2 event mri_trigger at 6388.738122
bar pass 2 event mri_trigger at 6388.813231
bar pass 2 event mri_trigger at 6388.896787
bar pass 2 event mri_trigger at 6388.971934
bar pass 2 stimulus probe onset at 6389.035404
bar pass 2 event mri_trigger at 6389.055233
bar pass 2 event mri_trigger at 6389.138570
bar pass 2 event mri_trigger at 6389.222047
bar pass 2 event mri_trigger at 6389.296803
bar pass 2 event mri_trigger at 6389.371916
bar pass 2 event mri_trigger at 6389.455194
bar pass 2 event mri_trigger at 6389.547229
bar pass 2 event mri_trigger at 6389.613833
bar pass 2 event mri_trigger at 6389.696968
bar pass 2 event mri_trigger at 6389.772014
bar pass 2 event mri_trigger at 6389.855480
bar pass 2 trial offset at 6389.927394
bar pass 2 event mri_trigger at 6389.930553
bar pass 2 trial onset at 6389.935773
bar pass 2 event mri_trigger at 6390.013833
bar pass 2 event mri_trigger at 6390.097132
bar pass 2 event mri_trigger at 6390.172263
bar pass 2 event mri_trigger at 6390.255519
bar pass 2 stimulus probe onset at 6390.277617
bar pass 2 event mri_trigger at 6390.330612
bar pass 2 event mri_trigger at 6390.414093
bar pass 2 event mri_trigger at 6390.497501
bar pass 2 event mri_trigger at 6390.572283
bar pass 2 event mri_trigger at 6390.655854
