onset	duration	run_number	trial_number	att_task	fix_direction	bar_direction	bar_period	bar_step	fix_noise_ori	stim_noise_ori	fix_stair_val	stim_stair_val	response_val	probe_time	reaction_time
1560162937	1.291429043	5	1	1	1	9	1	1	3	3	4	8	n/a	n/a	n/a
1560162939	1.291723013	5	2	1	1	9	1	2	3	3	4	8	n/a	n/a	n/a
1560162940	1.291771889	5	3	1	1	9	1	3	3	3	4	8	n/a	n/a	n/a
1560162941	1.291651964	5	4	1	1	9	1	4	3	3	4	8	n/a	n/a	n/a
1560162943	1.291750908	5	5	1	1	9	1	5	3	3	4	8	n/a	n/a	n/a
1560162944	1.291713953	5	6	1	1	9	1	6	3	3	4	8	n/a	n/a	n/a
1560162945	1.29163599	5	7	1	1	9	1	7	3	3	4	8	n/a	n/a	n/a
1560162947	1.291704178	5	8	1	1	9	1	8	3	3	4	8	n/a	n/a	n/a
1560162948	1.291648865	5	9	1	1	9	1	9	3	3	4	8	n/a	n/a	n/a
1560162949	1.291574955	5	10	1	1	9	1	10	3	3	4	8	n/a	n/a	n/a
1560162950	1.298993111	5	11	1	1	1	2	1	2	1	4	8	n/a	1560162951	n/a
1560162952	1.291648865	5	12	1	1	1	2	2	1	1	3	8	1	1560162952	0.641933918
1560162953	1.291692019	5	13	1	1	1	2	3	2	1	3	8	1	1560162953	0.5918419361
1560162954	1.291665792	5	14	1	1	1	2	4	2	1	3	8	1	1560162955	0.5666968822
1560162956	1.300011873	5	15	1	1	1	2	5	2	2	2	8	1	1560162956	0.591337204
1560162957	1.300024033	5	16	1	1	1	2	6	1	2	3	8	0	1560162957	0.5502340794
1560162958	1.291699171	5	17	1	1	1	2	7	2	1	3	8	1	1560162959	0.5592968464
1560162960	1.291755199	5	18	1	1	1	2	8	2	2	4	8	0	1560162960	0.5002877712
1560162961	1.300079107	5	19	1	1	1	2	9	2	1	4	8	1	1560162961	0.5752670765
1560162962	1.291651964	5	20	1	1	1	2	10	1	2	4	8	1	1560162963	0.6419789791
1560162964	1.291661024	5	21	1	1	1	2	11	2	1	3	8	1	1560162964	0.5338919163
1560162965	1.291574001	5	22	1	1	1	2	12	2	2	4	8	0	1560162965	0.3420989513
