onset	duration	run_number	trial_number	att_task	fix_direction	bar_direction	bar_period	bar_step	fix_noise_ori	stim_noise_ori	fix_stair_val	stim_stair_val	response_val	probe_time	reaction_time
1560171409	1.291479111	6	1	2	1	9	1	1	3	3	4	6	n/a	n/a	n/a
1560171410	1.291788816	6	2	2	1	9	1	2	3	3	4	6	n/a	n/a	n/a
1560171412	1.291795015	6	3	2	1	9	1	3	3	3	4	6	n/a	n/a	n/a
1560171413	1.291668177	6	4	2	1	9	1	4	3	3	4	6	n/a	n/a	n/a
1560171414	1.291692972	6	5	2	1	9	1	5	3	3	4	6	n/a	n/a	n/a
1560171416	1.291722059	6	6	2	1	9	1	6	3	3	4	6	n/a	n/a	n/a
1560171417	1.291749954	6	7	2	1	9	1	7	3	3	4	6	n/a	n/a	n/a
1560171418	1.291664839	6	8	2	1	9	1	8	3	3	4	6	n/a	n/a	n/a
1560171419	1.291668892	6	9	2	1	9	1	9	3	3	4	6	n/a	n/a	n/a
1560171421	1.291613102	6	10	2	1	9	1	10	3	3	4	6	n/a	n/a	n/a
1560171422	1.290624857	6	11	2	1	1	2	1	2	2	4	7	0	1560171422	0.2253279686
1560171423	1.291749001	6	12	2	1	1	2	2	2	1	4	8	0	1560171424	0.7001700401
1560171425	1.299995899	6	13	2	1	1	2	3	1	2	4	9	0	1560171425	0.5001840591
1560171426	1.300009012	6	14	2	1	1	2	4	1	1	4	9	1	1560171426	0.5086400509
1560171427	1.299993992	6	15	2	1	1	2	5	2	1	4	10	0	1560171428	0.4245920181
1560171429	1.299953938	6	16	2	1	1	2	6	1	1	4	10	1	1560171429	0.4251890182
1560171430	1.299996853	6	17	2	1	1	2	7	2	1	4	11	0	1560171430	0.5252740383
1560171431	1.299997091	6	18	2	1	1	2	8	1	1	4	11	1	1560171432	0.6844329834
1560171433	1.291671991	6	19	2	1	1	2	9	1	1	4	11	1	1560171433	0.5002331734
1560171434	1.300005198	6	20	2	1	1	2	10	1	2	4	10	1	1560171434	0.6338140965
1560171435	1.299959183	6	21	2	1	1	2	11	1	1	4	10	1	1560171435	0.6502389908
1560171436	1.291646004	6	22	2	1	1	2	12	1	2	4	10	1	1560171437	0.5011630058
1560171438	1.291657925	6	23	2	1	1	2	13	1	1	4	9	1	1560171438	0.4921610355
1560171439	1.291649103	6	24	2	1	1	2	14	2	2	4	9	1	1560171439	0.6169090271
1560171440	1.291597128	6	25	2	1	1	2	15	2	1	4	9	1	1560171441	0.5750260353
1560171442	1.291780949	6	26	2	1	1	2	16	1	2	4	8	1	1560171442	0.7750709057
1560171443	1.300104856	6	27	2	1	1	2	17	2	1	4	8	1	1560171443	0.6584708691
1560171444	1.291670799	6	28	2	1	1	2	18	1	1	4	8	1	1560171445	0.8417780399
