onset	duration	run_number	trial_number	att_task	fix_direction	bar_direction	bar_period	bar_step	fix_noise_ori	stim_noise_ori	fix_stair_val	stim_stair_val	response_val	probe_time	reaction_time
1560848826	1.291327953	2	1	2	4	9	1	1	3	3	2	9	n/a	n/a	n/a
1560848827	1.291763783	2	2	2	4	9	1	2	3	3	2	9	n/a	n/a	n/a
1560848829	1.291682959	2	3	2	4	9	1	3	3	3	2	9	n/a	n/a	n/a
1560848830	1.291636944	2	4	2	4	9	1	4	3	3	2	9	n/a	n/a	n/a
1560848831	1.291610956	2	5	2	4	9	1	5	3	3	2	9	n/a	n/a	n/a
1560848833	1.291745901	2	6	2	4	9	1	6	3	3	2	9	n/a	n/a	n/a
1560848834	1.291746855	2	7	2	4	9	1	7	3	3	2	9	n/a	n/a	n/a
1560848835	1.291707993	2	8	2	4	9	1	8	3	3	2	9	n/a	n/a	n/a
1560848837	1.291636944	2	9	2	4	9	1	9	3	3	2	9	n/a	n/a	n/a
1560848838	1.291768074	2	10	2	4	9	1	10	3	3	2	9	n/a	n/a	n/a
1560848839	1.307304859	2	11	2	4	1	2	1	1	2	2	10	0	1560848839	0.7336559296
1560848840	1.300088882	2	12	2	4	1	2	2	2	2	2	10	1	1560848841	0.6502130032
1560848842	1.2999928	2	13	2	4	1	2	3	2	2	2	10	1	1560848842	0.5833890438
1560848843	1.291682959	2	14	2	4	1	2	4	2	1	2	9	1	1560848843	0.5751540661
1560848844	1.299993038	2	15	2	4	1	2	5	1	2	2	9	1	1560848845	0.5163900852
1560848846	1.300092936	2	16	2	4	1	2	6	1	2	2	9	1	1560848846	0.5334560871
1560848847	1.29169488	2	17	2	4	1	2	7	1	2	2	8	1	1560848847	0.6260211468
1560848848	1.300026894	2	18	2	4	1	2	8	1	1	2	8	1	1560848849	0.616891861
1560848850	1.300019979	2	19	2	4	1	2	9	1	1	2	9	0	1560848850	0.5503900051
1560848851	1.300054073	2	20	2	4	1	2	10	2	1	2	9	1	1560848851	0.8586080074
1560848852	1.299977064	2	21	2	4	1	2	11	2	2	2	9	1	1560848853	0.8337919712
