onset	duration	run_number	trial_number	att_task	fix_direction	bar_direction	bar_period	bar_step	fix_noise_ori	stim_noise_ori	fix_stair_val	stim_stair_val	response_val	probe_time	reaction_time
1561641549	1.290982962	9	1	1	2	9	1	1	3	3	6	10	n/a	n/a	n/a
1561641550	1.29175806	9	2	1	2	9	1	2	3	3	6	10	n/a	n/a	n/a
1561641552	1.291834116	9	3	1	2	9	1	3	3	3	6	10	n/a	n/a	n/a
1561641553	1.291790009	9	4	1	2	9	1	4	3	3	6	10	n/a	n/a	n/a
1561641554	1.291657925	9	5	1	2	9	1	5	3	3	6	10	n/a	n/a	n/a
1561641556	1.291676998	9	6	1	2	9	1	6	3	3	6	10	n/a	n/a	n/a
1561641557	1.291694164	9	7	1	2	9	1	7	3	3	6	10	n/a	n/a	n/a
1561641558	1.29163599	9	8	1	2	9	1	8	3	3	6	10	n/a	n/a	n/a
1561641559	1.291629076	9	9	1	2	9	1	9	3	3	6	10	n/a	n/a	n/a
1561641561	1.291721106	9	10	1	2	9	1	10	3	3	6	10	n/a	n/a	n/a
1561641562	1.307350159	9	11	1	2	1	2	1	1	2	6	10	1	1561641562	0.6086950302
1561641563	1.299936056	9	12	1	2	1	2	2	1	1	7	10	0	1561641564	0.5836331844
1561641565	1.29175806	9	13	1	2	1	2	3	2	1	7	10	1	1561641565	0.5501232147
1561641566	1.291692019	9	14	1	2	1	2	4	1	2	7	10	1	1561641566	0.7751019001
1561641567	1.299937963	9	15	1	2	1	2	5	1	2	6	10	1	1561641568	0.5414030552
1561641569	1.299983978	9	16	1	2	1	2	6	2	1	7	10	0	1561641569	0.5167548656
1561641570	1.300084114	9	17	1	2	1	2	7	1	2	8	10	0	1561641570	0.4502549171
1561641571	1.299998045	9	18	1	2	1	2	8	1	1	8	10	1	1561641572	0.4843199253
1561641573	1.300078869	9	19	1	2	1	2	9	1	1	8	10	1	1561641573	0.4587240219
1561641574	1.300000906	9	20	1	2	1	2	10	2	1	7	10	1	1561641574	0.6502389908
1561641575	1.300019979	9	21	1	2	1	2	11	2	1	7	10	1	1561641575	0.6511001587
1561641576	1.300022125	9	22	1	2	1	2	12	1	2	7	10	1	1561641577	0.5170331001
1561641578	1.300116062	9	23	1	2	1	2	13	2	2	6	10	1	1561641578	0.6167280674
1561641579	1.300088882	9	24	1	2	1	2	14	1	2	6	10	1	1561641579	0.4833829403
1561641580	1.299983978	9	25	1	2	1	2	15	2	2	6	10	1	1561641581	0.5419971943
1561641582	1.291702986	9	26	1	2	1	2	16	2	2	5	10	1	1561641582	0.63352108
1561641583	1.29162097	9	27	1	2	1	2	17	1	1	5	10	1	1561641583	0.6251418591
1561641584	1.291679144	9	28	1	2	1	2	18	2	1	5	10	1	1561641585	0.6500880718
1561641586	1.291418791	9	29	1	2	9	3	1	3	3	5	10	n/a	n/a	n/a
1561641587	1.291648149	9	30	1	2	9	3	2	3	3	5	10	n/a	n/a	n/a
1561641588	1.291687012	9	31	1	2	9	3	3	3	3	5	10	n/a	n/a	n/a
1561641589	1.291616917	9	32	1	2	9	3	4	3	3	5	10	n/a	n/a	n/a
1561641591	1.291749954	9	33	1	2	9	3	5	3	3	5	10	n/a	n/a	n/a
1561641592	1.291637897	9	34	1	2	9	3	6	3	3	5	10	n/a	n/a	n/a
1561641593	1.291669846	9	35	1	2	9	3	7	3	3	5	10	n/a	n/a	n/a
1561641595	1.291671991	9	36	1	2	9	3	8	3	3	5	10	n/a	n/a	n/a
1561641596	1.291681051	9	37	1	2	9	3	9	3	3	5	10	n/a	n/a	n/a
1561641597	1.291785955	9	38	1	2	9	3	10	3	3	5	10	n/a	n/a	n/a
1561641599	1.29975009	9	39	1	2	5	4	1	1	2	4	10	1	1561641599	0.6336541176
1561641600	1.300023079	9	40	1	2	5	4	2	2	2	4	10	1	1561641600	0.6834011078
1561641601	1.300094128	9	41	1	2	5	4	3	2	2	4	10	1	1561641602	0.5084431171
1561641603	1.300035	9	42	1	2	5	4	4	1	2	5	10	0	1561641603	0.6086051464
1561641604	1.300084829	9	43	1	2	5	4	5	1	1	5	10	1	1561641604	0.5000510216
1561641605	1.299992085	9	44	1	2	5	4	6	2	1	5	10	1	1561641605	0.4499909878
