onset	duration	run_number	trial_number	att_task	fix_direction	bar_direction	bar_period	bar_step	fix_noise_ori	stim_noise_ori	fix_stair_val	stim_stair_val	response_val	probe_time	reaction_time
1561641799	1.291384935	10	1	2	2	9	1	1	3	3	7	10	n/a	n/a	n/a
1561641800	1.291781187	10	2	2	2	9	1	2	3	3	7	10	n/a	n/a	n/a
1561641801	1.291630983	10	3	2	2	9	1	3	3	3	7	10	n/a	n/a	n/a
1561641802	1.29163599	10	4	2	2	9	1	4	3	3	7	10	n/a	n/a	n/a
1561641804	1.291628838	10	5	2	2	9	1	5	3	3	7	10	n/a	n/a	n/a
1561641805	1.291675091	10	6	2	2	9	1	6	3	3	7	10	n/a	n/a	n/a
1561641806	1.291726112	10	7	2	2	9	1	7	3	3	7	10	n/a	n/a	n/a
1561641808	1.291697979	10	8	2	2	9	1	8	3	3	7	10	n/a	n/a	n/a
1561641809	1.291607857	10	9	2	2	9	1	9	3	3	7	10	n/a	n/a	n/a
1561641810	1.291694164	10	10	2	2	9	1	10	3	3	7	10	n/a	n/a	n/a
1561641812	1.298881054	10	11	2	2	1	2	1	2	2	7	10	1	1561641812	0.9503149986
1561641813	1.291738987	10	12	2	2	1	2	2	1	1	7	9	1	1561641813	0.6584918499
1561641814	1.299998999	10	13	2	2	1	2	3	2	1	7	9	1	1561641814	0.6585409641
1561641815	1.291632175	10	14	2	2	1	2	4	2	1	7	8	1	1561641816	0.6584098339
1561641817	1.299988985	10	15	2	2	1	2	5	1	1	7	8	1	1561641817	0.6663739681
1561641818	1.291706085	10	16	2	2	1	2	6	1	1	7	8	1	1561641818	0.5843939781
1561641819	1.300071001	10	17	2	2	1	2	7	2	1	7	7	1	1561641820	0.4754209518
1561641821	1.299932003	10	18	2	2	1	2	8	1	2	7	7	1	1561641821	0.5085990429
1561641822	1.291690111	10	19	2	2	1	2	9	1	1	7	7	1	1561641822	0.5584948063
1561641823	1.291568041	10	20	2	2	1	2	10	1	2	7	8	0	1561641824	0.6503000259
1561641825	1.291763067	10	21	2	2	1	2	11	2	2	7	8	1	1561641825	0.4668819904
1561641826	1.291699171	10	22	2	2	1	2	12	2	2	7	9	0	1561641826	0.4502220154
1561641827	1.291669846	10	23	2	2	1	2	13	1	2	7	10	0	1561641828	0.6252348423
1561641828	1.291677952	10	24	2	2	1	2	14	1	2	7	11	0	1561641829	0.5836100578
1561641830	1.291721106	10	25	2	2	1	2	15	2	1	7	11	1	1561641830	0.7417740822
1561641831	1.300086975	10	26	2	2	1	2	16	1	2	7	12	0	1561641831	0.7005360126
1561641832	1.291661024	10	27	2	2	1	2	17	2	1	7	12	1	1561641833	0.683339119
1561641834	1.29172802	10	28	2	2	1	2	18	2	2	7	12	1	1561641834	0.7668809891
1561641835	1.291436195	10	29	2	2	9	3	1	3	3	7	12	n/a	n/a	n/a
1561641836	1.291584015	10	30	2	2	9	3	2	3	3	7	12	n/a	n/a	n/a
1561641838	1.291743994	10	31	2	2	9	3	3	3	3	7	12	n/a	n/a	n/a
1561641839	1.29172802	10	32	2	2	9	3	4	3	3	7	12	n/a	n/a	n/a
1561641840	1.291691065	10	33	2	2	9	3	5	3	3	7	12	n/a	n/a	n/a
1561641841	1.29171896	10	34	2	2	9	3	6	3	3	7	12	n/a	n/a	n/a
1561641843	1.291686058	10	35	2	2	9	3	7	3	3	7	12	n/a	n/a	n/a
1561641844	1.291733027	10	36	2	2	9	3	8	3	3	7	12	n/a	n/a	n/a
1561641845	1.29163909	10	37	2	2	9	3	9	3	3	7	12	n/a	n/a	n/a
1561641847	1.291634798	10	38	2	2	9	3	10	3	3	7	12	n/a	n/a	n/a
1561641848	1.291426182	10	39	2	2	5	4	1	2	2	7	11	1	1561641848	0.6675429344
1561641849	1.291665077	10	40	2	2	5	4	2	2	1	7	12	0	1561641850	0.6420249939
1561641851	1.291675091	10	41	2	2	5	4	3	2	2	7	13	0	1561641851	0.6083960533
1561641852	1.299978018	10	42	2	2	5	4	4	2	1	7	13	1	1561641852	0.583368063
1561641853	1.291694164	10	43	2	2	5	4	5	2	2	7	13	1	1561641854	0.7837119102
1561641854	1.2917068	10	44	2	2	5	4	6	1	1	7	12	1	1561641855	0.5166540146
