onset	duration	run_number	trial_number	att_task	seq_acquisition	bar_direction	bar_period	bar_step	stim_noise_ori	stim_stair_val	response_val	probe_time	reaction_time
1202.560646	1.2485139	1	1	1	1	9	1	1	3	9	n/a	n/a	n/a
1203.817536	1.2420642	1	2	1	1	9	1	2	3	9	n/a	n/a	n/a
1205.067935	1.2423345	1	3	1	1	9	1	3	3	9	n/a	n/a	n/a
1206.318603	1.2420281	1	4	1	1	9	1	4	3	9	n/a	n/a	n/a
1207.569804	1.2421648	1	5	1	1	9	1	5	3	9	n/a	n/a	n/a
1208.81945	1.2422046	1	6	1	1	9	1	6	3	9	n/a	n/a	n/a
1210.069773	1.2421957	1	7	1	1	9	1	7	3	9	n/a	n/a	n/a
1211.320488	1.2420494	1	8	1	1	9	1	8	3	9	n/a	n/a	n/a
1212.570771	1.2421503	1	9	1	1	9	1	9	3	9	n/a	n/a	n/a
1213.821483	1.2421094	1	10	1	1	9	1	10	3	9	n/a	n/a	n/a
1215.302841	1.3197159	1	11	1	1	1	2	1	2	9	n/a	1215.697389	n/a
1216.63092	1.3004545	1	12	1	1	1	2	2	1	9	n/a	1217.022871	n/a
1217.939713	1.317242	1	13	1	1	1	2	3	1	9	n/a	1218.340022	n/a
1219.265396	1.3254364	1	14	1	1	1	2	4	2	9	n/a	1219.665652	n/a
1220.5991	1.3089679	1	15	1	1	1	2	5	2	9	n/a	1221.000381	n/a
1221.9164	1.3088005	1	16	1	1	1	2	6	1	9	n/a	1222.316662	n/a
1223.233373	1.3172861	1	17	1	1	1	2	7	1	9	n/a	1223.633657	n/a
1224.559171	1.3171408	1	18	1	1	1	2	8	2	9	n/a	1224.950899	n/a
1225.88449	1.3256639	1	19	1	1	1	2	9	1	9	n/a	1226.284743	n/a
1227.218508	1.3171944	1	20	1	1	1	2	10	1	9	n/a	1227.61036	n/a
1228.543919	1.3173037	1	21	1	1	1	2	11	2	9	n/a	1228.944209	n/a
1229.869579	1.3254596	1	22	1	1	1	2	12	1	9	n/a	1230.269698	n/a
1231.203381	1.3088982	1	23	1	1	1	2	13	1	9	1	1231.603616	0.7007286
1232.520704	1.2921046	1	24	1	1	1	2	14	1	9	1	1232.912442	0.6172617
