bar pass 1 started at 80140.308504
bar pass 1 event t at 80141.615454
bar pass 1 trial onset at 80141.635918
bar pass 1 event t at 80141.637342
bar pass 1 trial offset at 80142.867714
bar pass 1 trial onset at 80142.900070
bar pass 1 event t at 80142.901616
bar pass 1 trial offset at 80144.133204
bar pass 1 trial onset at 80144.167052
bar pass 1 event t at 80144.167329
bar pass 1 trial offset at 80145.400284
bar pass 1 trial onset at 80145.432813
bar pass 1 event t at 80145.433120
bar pass 1 trial offset at 80146.667464
bar pass 1 trial onset at 80146.700226
bar pass 1 event t at 80146.700536
bar pass 1 trial offset at 80147.933222
bar pass 1 trial onset at 80147.966626
bar pass 1 event t at 80147.966914
bar pass 1 trial offset at 80149.200019
bar pass 1 trial onset at 80149.233608
bar pass 1 event t at 80149.233876
bar pass 1 trial offset at 80150.466341
bar pass 1 trial onset at 80150.499959
bar pass 1 event t at 80150.500241
bar pass 1 trial offset at 80151.733869
bar pass 1 trial onset at 80151.767232
bar pass 1 event t at 80151.767533
bar pass 1 trial offset at 80153.009032
bar pass 1 trial onset at 80153.033761
bar pass 1 event t at 80153.034047
bar pass 1 trial offset at 80154.267702
bar pass 1 - 127/125 drawn bar stimuli - and 0/0 probes - 1 missed sync on 380 frames, 0.3% (mean/median delay = 0.6/0.6 ms)
bar pass 1 stopped at 80154.305701
bar pass 2 started at 80154.305911
bar pass 2 trial onset at 80154.336766
bar pass 2 event t at 80154.338990
bar pass 2 trial offset at 80155.566819
bar pass 2 trial onset at 80155.600482
bar pass 2 event t at 80155.600991
bar pass 2 event b at 80156.702926
bar pass 2 trial offset at 80156.833176
bar pass 2 trial onset at 80156.866526
bar pass 2 event t at 80156.866870
bar pass 2 trial offset at 80158.133921
bar pass 2 trial onset at 80158.167269
bar pass 2 event t at 80158.167592
bar pass 2 trial offset at 80159.434236
bar pass 2 trial onset at 80159.466977
bar pass 2 event t at 80159.467311
bar pass 2 trial offset at 80160.700791
bar pass 2 trial onset at 80160.734375
bar pass 2 event t at 80160.734711
bar pass 2 trial offset at 80161.968723
bar pass 2 trial onset at 80162.001376
bar pass 2 event t at 80162.001997
bar pass 2 trial offset at 80163.233987
bar pass 2 trial onset at 80163.267216
bar pass 2 event t at 80163.267695
bar pass 2 trial offset at 80164.501751
bar pass 2 trial onset at 80164.535154
bar pass 2 event t at 80164.535770
bar pass 2 trial offset at 80165.800241
bar pass 2 trial onset at 80165.834807
bar pass 2 event t at 80165.835367
bar pass 2 trial offset at 80167.068599
bar pass 2 trial onset at 80167.101767
bar pass 2 event t at 80167.102324
bar pass 2 trial offset at 80168.334857
bar pass 2 trial onset at 80168.368459
bar pass 2 event t at 80168.368976
bar pass 2 trial offset at 80169.601942
bar pass 2 trial onset at 80169.635066
bar pass 2 event t at 80169.635593
bar pass 2 trial offset at 80170.868569
bar pass 2 trial onset at 80170.901857
bar pass 2 event t at 80170.902317
bar pass 2 trial offset at 80172.133949
bar pass 2 trial onset at 80172.166858
bar pass 2 event t at 80172.167076
bar pass 2 trial offset at 80173.401116
bar pass 2 trial onset at 80173.434307
bar pass 2 event t at 80173.434694
bar pass 2 trial offset at 80174.668207
bar pass 2 trial onset at 80174.701034
bar pass 2 event t at 80174.701361
bar pass 2 trial offset at 80175.933989
bar pass 2 trial onset at 80175.967038
bar pass 2 event t at 80175.967272
bar pass 2 trial offset at 80177.199822
bar pass 2 - 228/225 drawn bar stimuli - and 84/90 probes - 3 missed sync on 684 frames, 0.4% (mean/median delay = 27.4/26.3 ms)
bar pass 2 stopped at 80177.202227
bar pass 3 started at 80177.202456
bar pass 3 trial onset at 80177.237644
bar pass 3 event t at 80177.241733
bar pass 3 trial offset at 80178.468572
bar pass 3 trial onset at 80178.501926
bar pass 3 event t at 80178.502997
bar pass 3 trial offset at 80179.735096
bar pass 3 trial onset at 80179.768490
bar pass 3 event t at 80179.769121
bar pass 3 trial offset at 80181.001770
bar pass 3 trial onset at 80181.034994
bar pass 3 event t at 80181.035657
bar pass 3 trial offset at 80182.268412
bar pass 3 trial onset at 80182.301697
bar pass 3 event t at 80182.302332
bar pass 3 trial offset at 80183.535072
bar pass 3 trial onset at 80183.568334
bar pass 3 event t at 80183.568955
bar pass 3 trial offset at 80184.802031
bar pass 3 trial onset at 80184.835077
bar pass 3 event t at 80184.835715
bar pass 3 trial offset at 80186.066469
bar pass 3 trial onset at 80186.099943
bar pass 3 event t at 80186.100251
bar pass 3 trial offset at 80187.335289
bar pass 3 trial onset at 80187.368566
bar pass 3 event t at 80187.369191
bar pass 3 trial offset at 80188.601915
bar pass 3 trial onset at 80188.634865
bar pass 3 event t at 80188.635350
bar pass 3 trial offset at 80189.866899
bar pass 3 - 127/125 drawn bar stimuli - and 0/0 probes - 0 missed sync on 380 frames, 0.0% (mean/median delay = NaN/NaN ms)
bar pass 3 stopped at 80189.869767
bar pass 4 started at 80189.869981
bar pass 4 trial onset at 80189.900040
bar pass 4 event t at 80189.900563
bar pass 4 trial offset at 80191.135176
bar pass 4 trial onset at 80191.166998
bar pass 4 event t at 80191.167227
