onset	duration	run_number	trial_number	att_task	seq_acquisition	bar_direction	bar_period	bar_step	stim_noise_ori	stim_stair_val	response_val	probe_time	reaction_time
4170.564224	11.9424539	1	1	1	1	9	1	1	3	15	n/a	n/a	n/a
4182.67218	11.8518386	1	2	1	1	9	1	2	3	15	n/a	n/a	n/a
4194.690216	11.8359415	1	3	1	1	9	1	3	3	15	n/a	n/a	n/a
4206.690841	11.8341217	1	4	1	1	9	1	4	3	15	n/a	n/a	n/a
4218.693537	11.8327607	1	5	1	1	9	1	5	3	15	n/a	n/a	n/a
4230.695495	11.8335723	1	6	1	1	9	1	6	3	15	n/a	n/a	n/a
4242.693961	11.8510194	1	7	1	1	9	1	7	3	15	n/a	n/a	n/a
4254.711227	11.8356681	1	8	1	1	9	1	8	3	15	n/a	n/a	n/a
4266.710796	11.8343178	1	9	1	1	9	1	9	3	15	n/a	n/a	n/a
4278.711862	11.8357339	1	10	1	1	9	1	10	3	15	n/a	n/a	n/a
4290.75747	12.783704	1	11	1	1	1	2	1	1	15	n/a	4294.438883	n/a
4303.723118	13.1108893	1	12	1	1	1	2	2	1	15	n/a	4307.449207	n/a
4317.018845	13.1155593	1	13	1	1	1	2	3	1	15	n/a	4320.75004	n/a
4330.317461	13.1536303	1	14	1	1	1	2	4	1	15	n/a	4334.051892	n/a
4343.654973	13.1982999	1	15	1	1	1	2	5	2	15	n/a	4347.384787	n/a
4357.035519	13.1360605	1	16	1	1	1	2	6	1	15	n/a	4360.769372	n/a
4370.352478	13.1506644	1	17	1	1	1	2	7	1	15	n/a	4374.069136	n/a
4383.687951	13.1836536	1	18	1	1	1	2	8	2	15	n/a	4387.404027	n/a
4397.056549	13.0656567	1	19	1	1	1	2	9	1	15	n/a	4400.756534	n/a
4410.304316	13.0849948	1	20	1	1	1	2	10	1	15	n/a	4414.004837	n/a
4423.573703	13.1346127	1	21	1	1	1	2	11	2	15	n/a	4427.288579	n/a
4436.890885	13.1504907	1	22	1	1	1	2	12	2	15	n/a	4440.606396	n/a
4450.224528	13.101299	1	23	1	1	1	2	13	2	15	n/a	4453.907654	n/a
4463.507722	13.152676	1	24	1	1	1	2	14	1	15	n/a	4467.226183	n/a
4476.842677	13.1338216	1	25	1	1	1	2	15	2	15	n/a	4480.55871	n/a
4490.159756	13.0688539	1	26	1	1	1	2	16	1	15	n/a	4493.859108	n/a
4503.409645	13.034746	1	27	1	1	1	2	17	1	15	n/a	4507.076482	n/a
4516.629732	12.1203765	1	28	1	1	1	2	18	1	15	n/a	4520.11659	n/a
4528.932723	11.864313	1	29	1	1	9	3	1	3	15	n/a	n/a	n/a
4540.965276	11.8506515	1	30	1	1	9	3	2	3	15	n/a	n/a	n/a
4552.983182	11.8318199	1	31	1	1	9	3	3	3	15	n/a	n/a	n/a
4564.982374	11.8507489	1	32	1	1	9	3	4	3	15	n/a	n/a	n/a
4577.001764	11.8319617	1	33	1	1	9	3	5	3	15	n/a	n/a	n/a
4589.000056	11.8519834	1	34	1	1	9	3	6	3	15	n/a	n/a	n/a
4601.019925	11.8321077	1	35	1	1	9	3	7	3	15	n/a	n/a	n/a
4613.018828	11.834785	1	36	1	1	9	3	8	3	15	n/a	n/a	n/a
4625.021875	11.847915	1	37	1	1	9	3	9	3	15	n/a	n/a	n/a
4637.038086	11.8493375	1	38	1	1	9	3	10	3	15	n/a	n/a	n/a
4649.081997	13.0155396	1	39	1	1	3	4	1	2	15	n/a	4652.749001	n/a
4662.280911	13.143631	1	40	1	1	3	4	2	1	15	n/a	4666.006987	n/a
4675.608637	13.1360556	1	41	1	1	3	4	3	2	15	n/a	4679.324058	n/a
4688.926156	13.1844752	1	42	1	1	3	4	4	1	15	n/a	4692.659765	n/a
4702.293241	13.1854244	1	43	1	1	3	4	5	2	15	n/a	4706.026984	n/a
4715.662513	13.1650734	1	44	1	1	3	4	6	2	15	n/a	4719.395416	n/a
4729.011586	13.2169534	1	45	1	1	3	4	7	2	15	n/a	4732.730123	n/a
4742.412	13.1678623	1	46	1	1	3	4	8	1	15	n/a	4746.146085	n/a
4755.762782	13.2009481	1	47	1	1	3	4	9	2	15	n/a	4759.496319	n/a
4769.148367	13.1357459	1	48	1	1	3	4	10	2	15	n/a	4772.864287	n/a
4782.464851	13.2200384	1	49	1	1	3	4	11	1	15	n/a	4786.19747	n/a
4795.865348	13.1845529	1	50	1	1	3	4	12	2	15	n/a	4799.598526	n/a
4809.235388	13.1488207	1	51	1	1	3	4	13	1	15	n/a	4812.950357	n/a
4822.568664	13.1823625	1	52	1	1	3	4	14	2	15	n/a	4826.302242	n/a
4835.935229	13.1682076	1	53	1	1	3	4	15	2	15	n/a	4839.684294	n/a
4849.286002	13.1835185	1	54	1	1	3	4	16	1	15	n/a	4853.019318	n/a
4862.652573	13.1707615	1	55	1	1	3	4	17	1	15	n/a	4866.386324	n/a
4876.00452	13.0246255	1	56	1	1	3	4	18	1	15	n/a	4879.677616	n/a
4889.204967	11.8320102	1	57	1	1	9	5	1	3	15	n/a	n/a	n/a
4901.204241	11.8337179	1	58	1	1	9	5	2	3	15	n/a	n/a	n/a
4913.206319	11.8320323	1	59	1	1	9	5	3	3	15	n/a	n/a	n/a
4925.205774	11.8337553	1	60	1	1	9	5	4	3	15	n/a	n/a	n/a
4937.208563	11.8547915	1	61	1	1	9	5	5	3	15	n/a	n/a	n/a
4949.224527	11.8343546	1	62	1	1	9	5	6	3	15	n/a	n/a	n/a
4961.226702	11.8319431	1	63	1	1	9	5	7	3	15	n/a	n/a	n/a
4973.225414	11.8335879	1	64	1	1	9	5	8	3	15	n/a	n/a	n/a
4985.22807	11.8315294	1	65	1	1	9	5	9	3	15	n/a	n/a	n/a
4997.227286	11.8353591	1	66	1	1	9	5	10	3	15	n/a	n/a	n/a
5009.251303	12.1155998	1	67	1	1	5	6	1	1	15	n/a	5012.664379	n/a
5021.533775	13.0275265	1	68	1	1	5	6	2	2	15	n/a	5025.143705	n/a
5034.743886	13.019756	1	69	1	1	5	6	3	1	15	n/a	5038.412074	n/a
5047.944904	13.0514305	1	70	1	1	5	6	4	2	15	n/a	5051.62976	n/a
5061.179924	13.0172188	1	71	1	1	5	6	5	1	15	n/a	5064.848316	n/a
5074.380429	13.0346379	1	72	1	1	5	6	6	2	15	n/a	5078.047863	n/a
5087.598279	13.034587	1	73	1	1	5	6	7	2	15	n/a	5091.264399	n/a
5100.817452	13.0495374	1	74	1	1	5	6	8	1	15	n/a	5104.500096	n/a
5114.050681	13.1173316	1	75	1	1	5	6	9	2	15	n/a	5117.734272	n/a
5127.352154	13.0353803	1	76	1	1	5	6	10	1	15	n/a	5131.035893	n/a
5140.568849	13.0510442	1	77	1	1	5	6	11	1	15	n/a	5144.252417	n/a
5153.804498	13.0831436	1	78	1	1	5	6	12	2	15	n/a	5157.471552	n/a
5167.07095	13.0173264	1	79	1	1	5	6	13	1	15	n/a	5170.737922	n/a
5180.271203	13.0685933	1	80	1	1	5	6	14	1	15	n/a	5183.938575	n/a
5193.52432	13.0994586	1	81	1	1	5	6	15	2	15	n/a	5197.205095	n/a
5206.807837	13.0335838	1	82	1	1	5	6	16	1	15	n/a	5210.475794	n/a
5220.024686	13.0343261	1	83	1	1	5	6	17	1	15	n/a	5223.690899	n/a
5233.241557	13.0085267	1	84	1	1	5	6	18	2	15	n/a	5236.899584	n/a
5246.428217	11.8822849	1	85	1	1	9	7	1	3	15	n/a	n/a	n/a
5258.478423	11.8513752	1	86	1	1	9	7	2	3	15	n/a	n/a	n/a
5270.495084	11.833337	1	87	1	1	9	7	3	3	15	n/a	n/a	n/a
5282.4953	11.8348092	1	88	1	1	9	7	4	3	15	n/a	n/a	n/a
5294.497118	11.8335935	1	89	1	1	9	7	5	3	15	n/a	n/a	n/a
5306.497801	11.8327252	1	90	1	1	9	7	6	3	15	n/a	n/a	n/a
5318.500225	11.8330263	1	91	1	1	9	7	7	3	15	n/a	n/a	n/a
5330.500222	11.8499594	1	92	1	1	9	7	8	3	15	n/a	n/a	n/a
5342.518402	11.8316767	1	93	1	1	9	7	9	3	15	n/a	n/a	n/a
5354.518152	11.8498182	1	94	1	1	9	7	10	3	15	n/a	n/a	n/a
5366.54506	13.0163856	1	95	1	1	7	8	1	1	15	n/a	5370.211221	n/a
5379.744133	13.0932647	1	96	1	1	7	8	2	1	15	n/a	5383.437198	n/a
5393.020798	13.1177873	1	97	1	1	7	8	3	2	15	n/a	5396.688199	n/a
5406.322283	13.2512589	1	98	1	1	7	8	4	2	15	n/a	5410.004933	n/a
5419.759385	13.1646702	1	99	1	1	7	8	5	1	15	n/a	5423.457251	n/a
5433.107228	13.167411	1	100	1	1	7	8	6	2	15	n/a	5436.827571	n/a
5446.458892	13.2139989	1	101	1	1	7	8	7	1	15	n/a	5450.18968	n/a
5459.859676	13.1006286	1	102	1	1	7	8	8	1	15	n/a	5463.576022	n/a
5473.142954	13.1525912	1	103	1	1	7	8	9	2	15	n/a	5476.87693	n/a
5486.477563	13.1680993	1	104	1	1	7	8	10	2	15	n/a	5490.196229	n/a
5499.830581	13.1166672	1	105	1	1	7	8	11	1	15	n/a	5503.563172	n/a
5513.131108	13.14873	1	106	1	1	7	8	12	1	15	n/a	5516.849135	n/a
5526.462871	13.1186382	1	107	1	1	7	8	13	1	15	n/a	5530.14701	n/a
5539.763727	13.2188486	1	108	1	1	7	8	14	1	15	n/a	5543.531026	n/a
5553.164741	13.1010737	1	109	1	1	7	8	15	1	15	n/a	5556.899045	n/a
5566.4506	13.0998916	1	110	1	1	7	8	16	2	15	n/a	5570.148812	n/a
5579.734537	13.1669501	1	111	1	1	7	8	17	2	15	n/a	5583.453469	n/a
5593.083673	13.0267945	1	112	1	1	7	8	18	2	15	n/a	5596.759108	n/a
5606.282742	11.834881	1	113	1	1	9	9	1	3	15	n/a	n/a	n/a
5618.284101	11.8348326	1	114	1	1	9	9	2	3	15	n/a	n/a	n/a
5630.284401	11.8346185	1	115	1	1	9	9	3	3	15	n/a	n/a	n/a
5642.286378	11.835348	1	116	1	1	9	9	4	3	15	n/a	n/a	n/a
5654.286333	11.8351537	1	117	1	1	9	9	5	3	15	n/a	n/a	n/a
5666.286862	11.837099	1	118	1	1	9	9	6	3	15	n/a	n/a	n/a
5678.288018	11.850746	1	119	1	1	9	9	7	3	15	n/a	n/a	n/a
5690.306003	11.8523199	1	120	1	1	9	9	8	3	15	n/a	n/a	n/a
5702.323021	11.8343274	1	121	1	1	9	9	9	3	15	n/a	n/a	n/a
5714.32392	11.8370863	1	122	1	1	9	9	10	3	15	n/a	n/a	n/a
