onset	duration	run_number	trial_number	att_task	fix_direction	bar_direction	bar_period	bar_step	fix_noise_ori	stim_noise_ori	fix_stair_val	stim_stair_val	response_val	probe_time	reaction_time
52456.13902	1.297394814	1	1	1	4	9	1	1	3	3	9	9	n/a	n/a	n/a
52457.45313	1.281346104	1	2	1	4	9	1	2	3	3	9	9	n/a	n/a	n/a
52458.75131	1.283299394	1	3	1	4	9	1	3	3	3	9	9	n/a	n/a	n/a
52460.05137	1.283164017	1	4	1	4	9	1	4	3	3	9	9	n/a	n/a	n/a
52461.35129	1.283213455	1	5	1	4	9	1	5	3	3	9	9	n/a	n/a	n/a
52462.65119	1.299399084	1	6	1	4	9	1	6	3	3	9	9	n/a	n/a	n/a
52463.96782	1.282947009	1	7	1	4	9	1	7	3	3	9	9	n/a	n/a	n/a
52465.26785	1.283275399	1	8	1	4	9	1	8	3	3	9	9	n/a	n/a	n/a
52466.56784	1.283331575	1	9	1	4	9	1	9	3	3	9	9	n/a	n/a	n/a
52467.86795	1.283198659	1	10	1	4	9	1	10	3	3	9	9	n/a	n/a	n/a
52469.24491	1.356377743	1	11	1	4	1	2	1	2	2	9	9	1	52469.60284	0.684402878
52470.61787	1.383398301	1	12	1	4	1	2	2	1	1	9	9	1	52471.00123	0.812195619
52472.01785	1.433331729	1	13	1	4	1	2	3	2	2	8	9	1	52472.41796	0.566923224
52473.4678	1.416732922	1	14	1	4	1	2	4	2	2	8	9	1	52473.85121	0.632740764
52474.90121	1.383325318	1	15	1	4	1	2	5	2	2	8	9	1	52475.25069	0.666292154
52476.30129	1.38329345	1	16	1	4	1	2	6	1	2	7	9	1	52476.68456	0.533141342
52477.7013	1.399894682	1	17	1	4	1	2	7	2	1	7	9	1	52478.0842	0.783484071
52479.11802	1.399856577	1	18	1	4	1	2	8	1	1	7	9	n/a	52479.51788	n/a
52480.53428	1.433540576	1	19	1	4	1	2	9	1	1	7	9	1	52480.91789	0.982861302
52481.98433	1.43336221	1	20	1	4	1	2	10	1	1	6	9	1	52482.35125	0.800153514
52483.43458	1.449997664	1	21	1	4	1	2	11	1	2	7	9	0	52483.8344	0.900435034
52484.90103	1.333450431	1	22	1	4	1	2	12	1	1	7	9	n/a	52485.25125	n/a
52486.25085	1.383668119	1	23	1	4	1	2	13	2	2	7	9	1	52486.61799	0.932098829
52487.65092	1.383503226	1	24	1	4	1	2	14	1	1	7	9	n/a	52488.01756	n/a
52489.05084	1.400226271	1	25	1	4	1	2	15	2	2	8	9	0	52489.41777	0.850331393
52490.46781	1.399948584	1	26	1	4	1	2	16	2	1	8	9	1	52490.8506	0.81738766
52491.88412	1.40028513	1	27	1	4	1	2	17	2	2	8	9	n/a	52492.26772	n/a
52493.30075	1.416973163	1	28	1	4	1	2	18	2	1	8	9	1	52493.70113	0.616462143
52494.73448	1.416515809	1	29	1	4	1	2	19	2	1	7	9	1	52495.11754	0.667060269
52496.16788	1.43285138	1	30	1	4	1	2	20	2	1	8	9	0	52496.55094	0.599414234
52497.61784	1.43326855	1	31	1	4	1	2	21	2	1	8	9	1	52498.00077	0.683105686
52499.06762	1.383269878	1	32	1	4	1	2	22	2	1	8	9	1	52499.451	0.766992231
52500.46811	1.382819685	1	33	1	4	1	2	23	2	1	7	9	1	52500.85077	0.940277425
52501.86784	1.366292465	1	34	1	4	1	2	24	1	2	7	9	1	52502.2338	0.86757362
52503.25101	1.316681547	1	35	1	4	1	2	25	2	1	7	9	1	52503.58451	0.716243894
52504.58417	1.333540444	1	36	1	4	1	2	26	2	1	8	9	0	52504.93389	0.584191514
52505.9341	1.333646239	1	37	1	4	1	2	27	2	1	8	9	1	52506.2845	0.599675979
52507.28408	1.366949107	1	38	1	4	1	2	28	2	2	8	9	1	52507.65093	0.633386243
52508.6674	1.350326746	1	39	1	4	1	2	29	1	1	7	9	1	52509.02785	0.633593482
52510.03396	1.367086447	1	40	1	4	1	2	30	2	1	7	9	1	52510.40088	0.800030009
52511.41736	1.350373399	1	41	1	4	1	2	31	1	2	7	9	1	52511.76123	0.80651137
52512.7841	1.333636855	1	42	1	4	1	2	32	1	2	8	9	0	52513.13384	0.550252854
52514.14868	1.286048614	1	43	1	4	9	3	1	3	3	8	9	n/a	n/a	n/a
52515.4514	1.283113141	1	44	1	4	9	3	2	3	3	8	9	n/a	n/a	n/a
52516.75092	1.283190835	1	45	1	4	9	3	3	3	3	8	9	n/a	n/a	n/a
52518.05112	1.283374969	1	46	1	4	9	3	4	3	3	8	9	n/a	n/a	n/a
52519.35116	1.283387888	1	47	1	4	9	3	5	3	3	8	9	n/a	n/a	n/a
52520.65079	1.283771271	1	48	1	4	9	3	6	3	3	8	9	n/a	n/a	n/a
52521.95098	1.283573434	1	49	1	4	9	3	7	3	3	8	9	n/a	n/a	n/a
52523.25097	1.283196974	1	50	1	4	9	3	8	3	3	8	9	n/a	n/a	n/a
52524.55065	1.283118892	1	51	1	4	9	3	9	3	3	8	9	n/a	n/a	n/a
52525.85121	1.283340053	1	52	1	4	9	3	10	3	3	8	9	n/a	n/a	n/a
52527.17944	1.433725662	1	53	1	4	3	4	1	1	2	8	9	1	52527.56278	0.6845005
52528.62954	1.467147336	1	54	1	4	3	4	2	2	2	8	9	1	52529.01714	0.845248406
52530.11317	1.49230402	1	55	1	4	3	4	3	1	1	7	9	1	52530.51788	0.599897075
52531.61761	1.466731414	1	56	1	4	3	4	4	1	2	7	9	1	52532.01985	0.710333829
52533.10016	1.450779092	1	57	1	4	3	4	5	1	2	8	9	0	52533.49555	0.635713998
52534.56726	1.499908781	1	58	1	4	3	4	6	1	1	8	9	1	52534.97885	0.651329617
52536.08444	1.483486159	1	59	1	4	3	4	7	2	1	8	9	1	52536.48342	0.667060987
52537.58443	1.566858304	1	60	1	4	3	4	8	2	2	9	9	0	52538.00111	0.595595487
52539.16776	1.549650841	1	61	1	4	3	4	9	2	1	9	9	1	52539.56733	0.599467665
52540.73369	1.566786514	1	62	1	4	3	4	10	2	1	9	9	1	52541.16732	0.696800979
52542.3183	1.566217231	1	63	1	4	3	4	11	2	1	8	9	1	52542.75027	0.830289221
52543.90103	1.515980742	1	64	1	4	3	4	12	2	1	8	9	1	52544.30051	0.734088776
52545.43445	1.533250772	1	65	1	4	3	4	13	2	2	8	9	1	52545.85104	0.682402861
52546.98415	1.533582095	1	66	1	4	3	4	14	2	1	9	9	0	52547.40109	0.766880278
52548.53433	1.532565567	1	67	1	4	3	4	15	1	2	9	9	1	52548.93446	0.783553486
52550.08444	1.566683234	1	68	1	4	3	4	16	2	1	9	9	1	52550.50097	0.730178715
52551.66764	1.533352591	1	69	1	4	3	4	17	2	1	8	9	1	52552.06773	1.016272489
52553.21753	1.5001896	1	70	1	4	3	4	18	1	2	8	9	1	52553.63393	0.616027366
52554.74885	1.284680098	1	71	1	4	9	5	1	3	3	8	9	n/a	n/a	n/a
52556.05031	1.283047904	1	72	1	4	9	5	2	3	3	8	9	n/a	n/a	n/a
52557.34989	1.28297982	1	73	1	4	9	5	3	3	3	8	9	n/a	n/a	n/a
52558.6501	1.283361327	1	74	1	4	9	5	4	3	3	8	9	n/a	n/a	n/a
52559.95011	1.282868426	1	75	1	4	9	5	5	3	3	8	9	n/a	n/a	n/a
52561.24986	1.283721824	1	76	1	4	9	5	6	3	3	8	9	n/a	n/a	n/a
52562.55012	1.283136298	1	77	1	4	9	5	7	3	3	8	9	n/a	n/a	n/a
52563.84997	1.30045131	1	78	1	4	9	5	8	3	3	8	9	n/a	n/a	n/a
52565.16788	1.399334146	1	79	1	4	9	5	9	3	3	8	9	n/a	n/a	n/a
52566.58389	1.499774434	1	80	1	4	9	5	10	3	3	8	9	n/a	n/a	n/a
52568.13357	1.61585162	1	81	1	4	5	6	1	2	2	8	9	1	52568.58454	0.74970738
52569.76777	1.566174455	1	82	1	4	5	6	2	2	2	7	9	1	52570.18401	0.715563264
52571.34948	1.599945831	1	83	1	4	5	6	3	1	1	7	9	1	52571.81753	0.59871512
52572.98265	1.633737383	1	84	1	4	5	6	4	2	1	7	9	1	52573.43296	0.750579677
52574.63298	1.61641557	1	85	1	4	5	6	5	2	1	6	9	1	52575.05076	0.766740676
52576.28271	1.666681367	1	86	1	4	5	6	6	1	2	6	9	1	52576.73316	1.166531749
52577.96648	1.766482238	1	87	1	4	5	6	7	1	1	6	9	1	52578.41608	0.933728964
52579.74965	1.633186131	1	88	1	4	5	6	8	1	2	5	9	1	52580.18326	0.884357736
52581.39949	1.533748068	1	89	1	4	5	6	9	1	2	5	9	1	52581.79992	0.76578937
52582.94987	1.466701668	1	90	1	4	5	6	10	1	2	5	9	1	52583.34999	0.849706719
52584.43313	1.450144023	1	91	1	4	5	6	11	2	2	4	9	1	52584.83324	0.583793872
52585.89985	1.417370617	1	92	1	4	5	6	12	1	1	4	9	1	52586.26677	0.717344229
52587.33329	1.45077061	1	93	1	4	5	6	13	2	2	4	9	1	52587.73326	0.833380418
52588.79996	1.416625434	1	94	1	4	5	6	14	2	2	4	9	0	52589.18331	1.016925321
52590.23328	1.450588138	1	95	1	4	5	6	15	1	2	6	9	0	52590.61667	0.616791227
52591.70047	1.467275283	1	96	1	4	5	6	16	2	1	7	9	0	52592.10001	0.800688778
52593.1844	1.399999669	1	97	1	4	5	6	17	1	2	7	9	n/a	52593.56775	n/a
52594.60015	1.417637711	1	98	1	4	5	6	18	2	1	7	9	1	52595.00108	0.700167674
52596.03442	1.416693841	1	99	1	4	5	6	19	1	2	7	9	1	52596.41778	0.648959276
52597.46786	1.449970774	1	100	1	4	5	6	20	1	2	8	9	0	52597.86775	0.850190797
52598.93436	1.450076667	1	101	1	4	5	6	21	2	1	9	9	0	52599.33402	0.667586232
52600.4011	1.433368275	1	102	1	4	5	6	22	2	2	9	9	1	52600.80121	0.649493798
52601.85122	1.466555153	1	103	1	4	5	6	23	2	2	9	9	1	52602.25044	0.684546647
52603.3346	1.416545161	1	104	1	4	5	6	24	1	2	8	9	1	52603.7345	0.749721518
52604.76792	1.449894743	1	105	1	4	5	6	25	2	2	8	9	1	52605.15137	0.883276922
52606.23458	1.433255406	1	106	1	4	5	6	26	1	1	8	9	1	52606.63462	0.682854222
52607.68447	1.433443532	1	107	1	4	5	6	27	2	1	7	9	1	52608.06788	0.599435186
52609.1345	1.450367623	1	108	1	4	5	6	28	1	1	7	9	1	52609.53459	0.782724975
52610.60149	1.449750292	1	109	1	4	5	6	29	1	2	7	9	n/a	52611.00119	n/a
52612.06791	1.416917976	1	110	1	4	5	6	30	2	2	8	9	0	52612.45119	0.667101388
52613.50145	1.433179129	1	111	1	4	5	6	31	1	2	9	9	0	52613.90136	0.666515616
52614.95138	1.433315421	1	112	1	4	5	6	32	2	1	9	9	1	52615.35127	0.98359896
52616.41873	1.28258525	1	113	1	4	9	7	1	3	3	9	9	n/a	n/a	n/a
52617.71805	1.283253326	1	114	1	4	9	7	2	3	3	9	9	n/a	n/a	n/a
52619.01808	1.28320903	1	115	1	4	9	7	3	3	3	9	9	n/a	n/a	n/a
52620.31812	1.288466572	1	116	1	4	9	7	4	3	3	9	9	n/a	n/a	n/a
52621.61822	1.283227496	1	117	1	4	9	7	5	3	3	9	9	n/a	n/a	n/a
52622.91816	1.283296038	1	118	1	4	9	7	6	3	3	9	9	n/a	n/a	n/a
52624.21829	1.283128223	1	119	1	4	9	7	7	3	3	9	9	n/a	n/a	n/a
52625.5182	1.283294426	1	120	1	4	9	7	8	3	3	9	9	n/a	n/a	n/a
52626.81809	1.283363597	1	121	1	4	9	7	9	3	3	9	9	n/a	n/a	n/a
52628.11827	1.2832924	1	122	1	4	9	7	10	3	3	9	9	n/a	n/a	n/a
52629.43448	1.384097963	1	123	1	4	7	8	1	1	1	9	9	n/a	52629.76862	n/a
52630.83517	1.416313972	1	124	1	4	7	8	2	1	2	9	9	n/a	52631.21826	n/a
52632.26839	1.433011955	1	125	1	4	7	8	3	2	1	9	9	n/a	52632.66822	n/a
