onset	duration	run_number	trial_number	att_task	fix_direction	bar_direction	bar_period	bar_step	fix_noise_ori	stim_noise_ori	fix_stair_val	stim_stair_val	response_val	probe_time	reaction_time
6017.220379	15.00791882	1	1	1	2	9	1	1	3	3	15	15	n/a	n/a	n/a
6032.411855	14.25768314	1	2	1	2	9	1	2	3	3	15	15	n/a	n/a	n/a
6046.84923	14.43523218	1	3	1	2	9	1	3	3	3	15	15	n/a	n/a	n/a
6061.467861	14.82938902	1	4	1	2	9	1	4	3	3	15	15	n/a	n/a	n/a
6076.494056	14.95181336	1	5	1	2	9	1	5	3	3	15	15	n/a	n/a	n/a
6091.639963	14.54592639	1	6	1	2	9	1	6	3	3	15	15	n/a	n/a	n/a
6106.368273	14.35498552	1	7	1	2	9	1	7	3	3	15	15	n/a	n/a	n/a
6120.902926	14.42497405	1	8	1	2	9	1	8	3	3	15	15	n/a	n/a	n/a
6135.509	14.40095476	1	9	1	2	9	1	9	3	3	15	15	n/a	n/a	n/a
6150.090505	14.35347084	1	10	1	2	9	1	10	3	3	15	15	n/a	n/a	n/a
6164.695691	14.51093269	1	11	1	2	1	2	1	2	2	15	15	n/a	6168.580107	n/a
6179.389295	14.86189498	1	12	1	2	1	2	2	1	1	15	15	n/a	6183.332983	n/a
6194.444093	15.21152692	1	13	1	2	1	2	3	2	2	15	15	n/a	6198.389167	n/a
6209.850971	15.40496392	1	14	1	2	1	2	4	2	2	15	15	n/a	6213.87072	n/a
6225.455182	15.54775983	1	15	1	2	1	2	5	1	2	15	15	n/a	6229.473442	n/a
6241.211145	15.49934347	1	16	1	2	1	2	6	2	2	15	15	n/a	6245.309153	n/a
6256.910438	15.3863773	1	17	1	2	1	2	7	2	1	15	15	n/a	6260.979133	n/a
6272.494734	15.28280945	1	18	1	2	1	2	8	2	1	15	15	n/a	6276.524897	n/a
6287.980729	15.39888578	1	19	1	2	1	2	9	1	2	15	15	n/a	6292.030985	n/a
6303.579666	15.38784226	1	20	1	2	1	2	10	2	2	15	15	n/a	6307.649217	n/a
