onset	duration	run_number	trial_number	att_task	fix_direction	bar_direction	bar_period	bar_step	fix_noise_ori	stim_noise_ori	fix_stair_val	stim_stair_val	response_val	probe_time	reaction_time
100691.6915	16.63112309	1	1	1	1	9	1	1	3	3	15	15	n/a	n/a	n/a
100708.5073	13.85813995	1	2	1	1	9	1	2	3	3	15	15	n/a	n/a	n/a
100722.5488	14.17927224	1	3	1	1	9	1	3	3	3	15	15	n/a	n/a	n/a
100736.9125	13.8357687	1	4	1	1	9	1	4	3	3	15	15	n/a	n/a	n/a
100750.9225	13.61784293	1	5	1	1	9	1	5	3	3	15	15	n/a	n/a	n/a
100764.7181	13.68425601	1	6	1	1	9	1	6	3	3	15	15	n/a	n/a	n/a
100778.58	13.69973288	1	7	1	1	9	1	7	3	3	15	15	n/a	n/a	n/a
100792.4677	14.10320535	1	8	1	1	9	1	8	3	3	15	15	n/a	n/a	n/a
100806.7558	14.74206849	1	9	1	1	9	1	9	3	3	15	15	n/a	n/a	n/a
100821.6698	13.714391	1	10	1	1	9	1	10	3	3	15	15	n/a	n/a	n/a
100835.6059	14.15013405	1	11	1	1	1	2	1	1	2	15	15	n/a	100839.2882	n/a
100849.9392	14.4607944	1	12	1	1	1	2	2	1	2	15	15	n/a	100853.7006	n/a
100864.5969	15.14479105	1	13	1	1	1	2	3	1	1	15	15	0	100868.6048	0.406902173
100879.9348	15.35441038	1	14	1	1	1	2	4	2	1	15	15	1	100883.9592	0.406877547
100895.4862	15.97072676	1	15	1	1	1	2	5	1	1	15	15	n/a	100899.5792	n/a
100911.6568	15.48279157	1	16	1	1	1	2	6	2	2	15	15	n/a	100915.693	n/a
100927.344	15.24618055	1	17	1	1	1	2	7	2	1	15	15	n/a	100931.3774	n/a
100942.7895	15.41994031	1	18	1	1	1	2	8	2	2	15	15	n/a	100946.8144	n/a
100958.4107	15.05198919	1	19	1	1	1	2	9	1	1	15	15	n/a	100962.411	n/a
100973.6637	15.1666278	1	20	1	1	1	2	10	2	2	15	15	n/a	100977.6243	n/a
100989.0257	15.04659544	1	21	1	1	1	2	11	2	1	15	15	n/a	100992.966	n/a
101004.2691	15.07499379	1	22	1	1	1	2	12	2	2	15	15	n/a	101008.2094	n/a
101019.5418	15.10839656	1	23	1	1	1	2	13	2	2	15	15	n/a	101023.4945	n/a
101034.8504	15.16848253	1	24	1	1	1	2	14	2	2	15	15	n/a	101038.8	n/a
101050.215	15.56020738	1	25	1	1	1	2	15	2	2	15	15	n/a	101054.2	n/a
101065.9768	14.80715176	1	26	1	1	1	2	16	1	2	15	15	n/a	101069.9632	n/a
101080.9804	14.36630495	1	27	1	1	1	2	17	1	2	15	15	n/a	101084.7467	n/a
101095.5321	14.27196566	1	28	1	1	1	2	18	1	2	15	15	n/a	101099.2261	n/a
101110.0011	14.014905	1	29	1	1	9	3	1	3	3	15	15	n/a	n/a	n/a
101124.1833	14.05677227	1	30	1	1	9	3	2	3	3	15	15	n/a	n/a	n/a
101138.42	14.01580102	1	31	1	1	9	3	3	3	3	15	15	n/a	n/a	n/a
101152.6201	13.73511978	1	32	1	1	9	3	4	3	3	15	15	n/a	n/a	n/a
101166.5368	13.62143673	1	33	1	1	9	3	5	3	3	15	15	n/a	n/a	n/a
101180.3362	13.76606927	1	34	1	1	9	3	6	3	3	15	15	n/a	n/a	n/a
101194.2765	13.53420839	1	35	1	1	9	3	7	3	3	15	15	n/a	n/a	n/a
101207.9835	13.43143996	1	36	1	1	9	3	8	3	3	15	15	n/a	n/a	n/a
101221.5861	13.44858989	1	37	1	1	9	3	9	3	3	15	15	n/a	n/a	n/a
101235.2116	13.59879575	1	38	1	1	9	3	10	3	3	15	15	n/a	n/a	n/a
101249.0081	14.04506541	1	39	1	1	5	4	1	2	1	15	15	n/a	101252.6751	n/a
101263.2394	14.16905097	1	40	1	1	5	4	2	1	2	15	15	n/a	101266.9228	n/a
101277.5922	14.86727148	1	41	1	1	5	4	3	1	2	15	15	n/a	101281.4877	n/a
