onset	duration	run_number	trial_number	att_task	fix_direction	bar_direction	bar_period	bar_step	fix_noise_ori	stim_noise_ori	fix_stair_val	stim_stair_val	response_val	probe_time	reaction_time
9472.327214	14.23558341	1	1	1	3	9	1	1	3	3	15	15	n/a	n/a	n/a
9486.749315	14.1217079	1	2	1	3	9	1	2	3	3	15	15	n/a	n/a	n/a
9501.048074	14.07216034	1	3	1	3	9	1	3	3	3	15	15	n/a	n/a	n/a
9515.30253	14.11997867	1	4	1	3	9	1	4	3	3	15	15	n/a	n/a	n/a
9529.600243	14.08469737	1	5	1	3	9	1	5	3	3	15	15	n/a	n/a	n/a
9543.868126	14.08720437	1	6	1	3	9	1	6	3	3	15	15	n/a	n/a	n/a
9558.137417	14.03392316	1	7	1	3	9	1	7	3	3	15	15	n/a	n/a	n/a
9572.352839	13.9700233	1	8	1	3	9	1	8	3	3	15	15	n/a	n/a	n/a
9586.502659	14.00016728	1	9	1	3	9	1	9	3	3	15	15	n/a	n/a	n/a
9600.688069	14.08702524	1	10	1	3	9	1	10	3	3	15	15	n/a	n/a	n/a
9614.995603	14.31457825	1	11	1	3	1	2	1	2	2	15	15	n/a	9618.727739	n/a
9629.497825	14.47318605	1	12	1	3	1	2	2	1	1	15	15	n/a	9633.282414	n/a
9644.154303	15.2595077	1	13	1	3	1	2	3	2	2	15	15	n/a	9648.139677	n/a
9659.608786	15.4713424	1	14	1	3	1	2	4	1	1	15	15	n/a	9663.661292	n/a
9675.278333	15.40155582	1	15	1	3	1	2	5	2	1	15	15	n/a	9679.328961	n/a
9690.875113	15.55592634	1	16	1	3	1	2	6	2	1	15	15	n/a	9694.98041	n/a
9706.63234	15.38217792	1	17	1	3	1	2	7	2	1	15	15	n/a	9710.68308	n/a
9722.220484	15.52066091	1	18	1	3	1	2	8	1	1	15	15	n/a	9726.31836	n/a
9737.932366	15.48694294	1	19	1	3	1	2	9	1	2	15	15	n/a	9741.970564	n/a
9753.620509	15.41643836	1	20	1	3	1	2	10	2	2	15	15	n/a	9757.655084	n/a
9769.235425	15.54011611	1	21	1	3	1	2	11	1	2	15	15	n/a	9773.306091	n/a
9784.97418	15.3320764	1	22	1	3	1	2	12	1	1	15	15	n/a	9788.988949	n/a
9800.505727	15.50274668	1	23	1	3	1	2	13	1	2	15	15	n/a	9804.557515	n/a
