onset	duration	run_number	trial_number	att_task	fix_direction	bar_direction	bar_period	bar_step	fix_noise_ori	stim_noise_ori	fix_stair_val	stim_stair_val	response_val	probe_time	reaction_time
52731.00128	1.283711972	2	1	2	4	9	1	1	3	3	9	9	n/a	n/a	n/a
52732.30151	1.282318098	2	2	2	4	9	1	2	3	3	9	9	n/a	n/a	n/a
52733.60046	1.283213841	2	3	2	4	9	1	3	3	3	9	9	n/a	n/a	n/a
52734.90026	1.283431149	2	4	2	4	9	1	4	3	3	9	9	n/a	n/a	n/a
52736.20053	1.283147401	2	5	2	4	9	1	5	3	3	9	9	n/a	n/a	n/a
52737.50048	1.283195461	2	6	2	4	9	1	6	3	3	9	9	n/a	n/a	n/a
52738.80076	1.282569486	2	7	2	4	9	1	7	3	3	9	9	n/a	n/a	n/a
52740.1005	1.283418475	2	8	2	4	9	1	8	3	3	9	9	n/a	n/a	n/a
52741.40022	1.290071806	2	9	2	4	9	1	9	3	3	9	9	n/a	n/a	n/a
52742.70058	1.283279077	2	10	2	4	9	1	10	3	3	9	9	n/a	n/a	n/a
52744.04618	1.270871935	2	11	2	4	1	2	1	1	2	9	9	n/a	52744.3684	n/a
52745.33385	1.299583596	2	12	2	4	1	2	2	2	1	9	9	1	52745.66709	0.756598259
52746.65044	1.284126391	2	13	2	4	1	2	3	1	2	9	10	0	52746.98378	0.884863418
52747.95069	1.283175436	2	14	2	4	1	2	4	1	2	9	10	n/a	52748.28359	n/a
52749.25061	1.283136263	2	15	2	4	1	2	5	1	1	9	10	1	52749.58376	0.90015174
52750.55044	1.283294187	2	16	2	4	1	2	6	1	2	9	10	n/a	52750.88375	n/a
52751.84988	1.283362437	2	17	2	4	1	2	7	1	2	9	11	0	52752.18381	0.749680231
52753.1505	1.282781531	2	18	2	4	1	2	8	1	1	9	12	0	52753.48376	0.651826483
52754.45035	1.283481023	2	19	2	4	1	2	9	1	1	9	12	1	52754.78336	0.750281137
52755.74993	1.283394738	2	20	2	4	1	2	10	1	2	9	12	1	52756.08375	0.783928189
52757.05044	1.283291256	2	21	2	4	1	2	11	1	1	9	12	n/a	52757.3837	n/a
52758.34968	1.283508361	2	22	2	4	1	2	12	2	2	9	12	1	52758.68367	0.949840536
52759.65032	1.283413214	2	23	2	4	1	2	13	2	2	9	11	n/a	52759.98386	n/a
52760.94993	1.283799674	2	24	2	4	1	2	14	2	2	9	11	n/a	52761.28378	n/a
52762.24968	1.284141964	2	25	2	4	1	2	15	2	2	9	11	1	52762.58371	0.466620377
52763.54985	1.283999258	2	26	2	4	1	2	16	2	2	9	11	1	52763.8837	0.600723791
52764.84996	1.283376388	2	27	2	4	1	2	17	1	2	9	12	0	52765.19514	0.805847356
52766.15044	1.29461791	2	28	2	4	1	2	18	1	2	9	13	0	52766.48362	0.828375924
52767.46172	1.288202085	2	29	2	4	1	2	19	1	2	9	13	1	52767.79518	0.538638885
52768.76705	1.294835996	2	30	2	4	1	2	20	2	1	9	14	0	52769.09992	0.750713903
52770.07891	1.283753824	2	31	2	4	1	2	21	2	1	9	14	1	52770.41239	0.616671784
