onset	duration	run_number	trial_number	att_task	seq_acquisition	bar_direction	bar_period	bar_step	stim_noise_ori	stim_stair_val	response_val	probe_time	reaction_time
3336.224115	1.1920306	4	1	1	2	9	1	1	3	6	n/a	n/a	n/a
3337.42436	1.1922712	4	2	1	2	9	1	2	3	6	n/a	n/a	n/a
3338.624831	1.192186	4	3	1	2	9	1	3	3	6	n/a	n/a	n/a
3339.825408	1.1922329	4	4	1	2	9	1	4	3	6	n/a	n/a	n/a
3341.026683	1.1922151	4	5	1	2	9	1	5	3	6	n/a	n/a	n/a
3342.226378	1.1921792	4	6	1	2	9	1	6	3	6	n/a	n/a	n/a
3343.426783	1.1921982	4	7	1	2	9	1	7	3	6	n/a	n/a	n/a
3344.627265	1.1921434	4	8	1	2	9	1	8	3	6	n/a	n/a	n/a
3345.827777	1.1921307	4	9	1	2	9	1	9	3	6	n/a	n/a	n/a
3347.028189	1.1921061	4	10	1	2	9	1	10	3	6	n/a	n/a	n/a
3348.246179	1.2080474	4	11	1	2	1	2	1	1	6	1	3348.595575	0.5037828
3349.462469	1.2006189	4	12	1	2	1	2	2	2	5	1	3349.804531	0.5620329
3350.671295	1.2006091	4	13	1	2	1	2	3	1	6	0	3351.013294	0.6869151
3351.880234	1.1921458	4	14	1	2	1	2	4	2	6	1	3352.222152	0.6284103
3353.080616	1.2256021	4	15	1	2	1	2	5	1	6	1	3353.4235	0.6191633
3354.314528	1.2254478	4	16	1	2	1	2	6	2	5	1	3354.65657	0.6615854
3355.548359	1.2004211	4	17	1	2	1	2	7	1	5	1	3355.890197	0.5617492
3356.757205	1.2004545	4	18	1	2	1	2	8	2	5	1	3357.098938	0.5965685
3357.965939	1.2338289	4	19	1	2	1	2	9	2	6	0	3358.307794	0.6035861
3359.208221	1.2254383	4	20	1	2	1	2	10	1	6	1	3359.549933	0.5048705
3360.441929	1.2256044	4	21	1	2	1	2	11	1	7	0	3360.783755	0.513065
3361.675874	1.2004548	4	22	1	2	1	2	12	1	7	1	3362.017645	0.5536415
3362.884717	1.2171313	4	23	1	2	1	2	13	2	8	0	3363.226473	0.620435
3364.110086	1.2339078	4	24	1	2	1	2	14	1	8	1	3364.451988	0.7289042
3365.352224	1.2255878	4	25	1	2	1	2	15	2	8	1	3365.694089	0.6452604
3366.58615	1.2255112	4	26	1	2	1	2	16	1	9	0	3366.928003	0.7116875
3367.819999	1.1921402	4	27	1	2	1	2	17	2	9	1	3368.161797	0.7533073
3369.020421	1.1921149	4	28	1	2	1	2	18	1	9	1	3369.362283	0.7200814
3370.229789	1.2003782	4	29	1	2	9	3	1	3	9	n/a	n/a	n/a
3371.438399	1.1918658	4	30	1	2	9	3	2	3	9	n/a	n/a	n/a
3372.63855	1.1921076	4	31	1	2	9	3	3	3	9	n/a	n/a	n/a
3373.839096	1.1921285	4	32	1	2	9	3	4	3	9	n/a	n/a	n/a
3375.039609	1.1921072	4	33	1	2	9	3	5	3	9	n/a	n/a	n/a
3376.240111	1.1920759	4	34	1	2	9	3	6	3	9	n/a	n/a	n/a
3377.440596	1.1921381	4	35	1	2	9	3	7	3	9	n/a	n/a	n/a
3378.641033	1.1920847	4	36	1	2	9	3	8	3	9	n/a	n/a	n/a
3379.841546	1.1920743	4	37	1	2	9	3	9	3	9	n/a	n/a	n/a
3381.042021	1.1930163	4	38	1	2	9	3	10	3	9	n/a	n/a	n/a
3382.250885	1.200343	4	39	1	2	3	4	1	2	10	0	3382.592575	0.4534187
3383.459694	1.2339493	4	40	1	2	3	4	2	1	10	1	3383.801486	0.5784453
3384.701846	1.2171175	4	41	1	2	3	4	3	2	10	1	3385.043605	0.6116819
3385.92725	1.2506159	4	42	1	2	3	4	4	2	9	1	3386.26917	0.6617858
3387.186223	1.1921067	4	43	1	2	3	4	5	1	9	1	3387.52802	0.6034088
3388.386617	1.1921533	4	44	1	2	3	4	6	2	9	1	3388.728404	0.5700391
3389.587152	1.1921626	4	45	1	2	3	4	7	1	8	1	3389.928989	0.5366776
3390.787573	1.2338707	4	46	1	2	3	4	8	2	8	1	3391.129422	0.5697996
