onset	duration	run_number	trial_number	att_task	seq_acquisition	bar_direction	bar_period	bar_step	stim_noise_ori	stim_stair_val	response_val	probe_time	reaction_time
4269.010689	1.192017	7	1	1	1	9	1	1	3	8	n/a	n/a	n/a
4270.211219	1.1920155	7	2	1	1	9	1	2	3	8	n/a	n/a	n/a
4271.411586	1.1921491	7	3	1	1	9	1	3	3	8	n/a	n/a	n/a
4272.612068	1.1921791	7	4	1	1	9	1	4	3	8	n/a	n/a	n/a
4273.813435	1.1921121	7	5	1	1	9	1	5	3	8	n/a	n/a	n/a
4275.012912	1.1923241	7	6	1	1	9	1	6	3	8	n/a	n/a	n/a
4276.213365	1.1922157	7	7	1	1	9	1	7	3	8	n/a	n/a	n/a
4277.413883	1.1921164	7	8	1	1	9	1	8	3	8	n/a	n/a	n/a
4278.61445	1.1922289	7	9	1	1	9	1	9	3	8	n/a	n/a	n/a
4279.814898	1.192075	7	10	1	1	9	1	10	3	8	n/a	n/a	n/a
4281.032858	1.2412835	7	11	1	1	1	2	1	2	8	1	4281.382238	0.6370744
4282.282567	1.2254005	7	12	1	1	1	2	2	1	7	1	4282.624434	0.7035811
4283.516277	1.1922653	7	13	1	1	1	2	3	1	7	1	4283.858285	0.7367795
4284.716795	1.192155	7	14	1	1	1	2	4	1	7	1	4285.05882	0.6115822
4285.917291	1.1921313	7	15	1	1	1	2	5	2	6	1	4286.260062	0.5443114
4287.117775	1.2005376	7	16	1	1	1	2	6	2	6	1	4287.460006	0.519691
4288.326608	1.2338192	7	17	1	1	1	2	7	2	7	0	4288.668364	0.4951674
4289.568843	1.2171863	7	18	1	1	1	2	8	2	7	1	4289.91055	0.5619449
4290.794342	1.1920905	7	19	1	1	1	2	9	2	7	1	4291.136144	0.5130794
4291.994708	1.2006243	7	20	1	1	1	2	10	1	6	1	4292.336591	0.5131044
4293.203571	1.2004725	7	21	1	1	1	2	11	1	7	0	4293.545443	0.4783178
4294.412497	1.1921498	7	22	1	1	1	2	12	1	7	1	4294.75418	0.5037656
4295.612872	1.2005973	7	23	1	1	1	2	13	2	7	1	4295.954726	0.6705014
4296.821796	1.19207	7	24	1	1	1	2	14	1	8	0	4297.163562	0.545063
4298.02248	1.1919411	7	25	1	1	1	2	15	1	8	1	4298.363984	0.6367998
4299.222753	1.2004101	7	26	1	1	1	2	16	1	8	1	4299.564548	0.6364514
4300.431506	1.2255295	7	27	1	1	1	2	17	1	9	0	4300.773272	0.6449086
4301.665609	1.1919549	7	28	1	1	1	2	18	2	9	1	4302.007115	0.7034299
4302.874666	1.1918087	7	29	1	1	9	3	1	3	9	n/a	n/a	n/a
4304.074973	1.1919309	7	30	1	1	9	3	2	3	9	n/a	n/a	n/a
4305.275223	1.1921129	7	31	1	1	9	3	3	3	9	n/a	n/a	n/a
4306.475871	1.1919588	7	32	1	1	9	3	4	3	9	n/a	n/a	n/a
4307.676204	1.1920925	7	33	1	1	9	3	5	3	9	n/a	n/a	n/a
4308.876592	1.1921655	7	34	1	1	9	3	6	3	9	n/a	n/a	n/a
4310.077192	1.1921092	7	35	1	1	9	3	7	3	9	n/a	n/a	n/a
4311.277573	1.1921624	7	36	1	1	9	3	8	3	9	n/a	n/a	n/a
4312.478127	1.192183	7	37	1	1	9	3	9	3	9	n/a	n/a	n/a
4313.678671	1.1920988	7	38	1	1	9	3	10	3	9	n/a	n/a	n/a
4314.887479	1.1921299	7	39	1	1	3	4	1	2	9	1	4315.22926	0.6115117
4316.08786	1.1921478	7	40	1	1	3	4	2	1	8	1	4316.429749	0.6116261
4317.288439	1.2254394	7	41	1	1	3	4	3	2	8	1	4317.630171	0.6283471
4318.522203	1.233857	7	42	1	1	3	4	4	2	8	1	4318.863955	0.6449313
4319.764358	1.2255776	7	43	1	1	3	4	5	1	7	1	4320.106164	0.7286144
4320.998196	1.2338121	7	44	1	1	3	4	6	1	7	1	4321.340063	0.6781999
4322.240358	1.2255826	7	45	1	1	3	4	7	2	7	1	4322.582201	0.628405
4323.474221	1.2004688	7	46	1	1	3	4	8	1	6	1	4323.816083	0.5615842
4324.683122	1.2337493	7	47	1	1	3	4	9	2	6	1	4325.024812	0.5782007
4325.92528	1.2255807	7	48	1	1	3	4	10	1	6	1	4326.267093	0.6032502
4327.15909	1.2003971	7	49	1	1	3	4	11	2	5	1	4327.500918	0.5533154
4328.367925	1.1921406	7	50	1	1	3	4	12	2	6	0	4328.709672	0.653684
4329.568415	1.1921389	7	51	1	1	3	4	13	2	6	1	4329.910198	0.6366329
4330.768854	1.2005387	7	52	1	1	3	4	14	2	6	1	4331.110656	0.6116417
4331.977685	1.2255665	7	53	1	1	3	4	15	1	5	1	4332.319554	0.6699196
4333.211576	1.2254781	7	54	1	1	3	4	16	1	5	1	4333.553375	0.7114524
4334.445411	1.2254212	7	55	1	1	3	4	17	1	5	1	4334.787167	0.7449757
4335.679317	1.2170899	7	56	1	1	3	4	18	1	6	0	4336.020974	0.5531896
4336.912946	1.1921672	7	57	1	1	9	5	1	3	6	n/a	n/a	n/a
4338.113524	1.1921562	7	58	1	1	9	5	2	3	6	n/a	n/a	n/a
